Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,nan±nan,nan±nan,nan±nan,nan±nan,0.8256±0.0322,0.8017±0.0350,0.7665±0.0389,0.7198±0.0582,0.4598±0.1346,0.4311±0.1143,0.4072±0.1045,0.3831±0.1036,0.5525±0.0574,0.5042±0.0662,0.4581±0.0606,0.3935±0.0804,1.2023±0.1870,1.3118±0.1880,1.5349±0.2289,1.6907±0.3173,0.7164±0.0471,0.6834±0.0435,0.6519±0.0495,0.6121±0.0572,0.4439±0.0797,0.4980±0.0789,0.5242±0.0724,0.5759±0.0878,0.1957±0.0332,0.2146±0.0330,0.2530±0.0456,0.2854±0.0569
PartialOrder__Hamming__None,nan±nan,nan±nan,nan±nan,nan±nan,0.8256±0.0322,0.8017±0.0350,0.7665±0.0389,0.7198±0.0582,0.4598±0.1346,0.4311±0.1143,0.4072±0.1045,0.3831±0.1036,0.5525±0.0574,0.5042±0.0662,0.4581±0.0606,0.3935±0.0804,1.2023±0.1870,1.3118±0.1880,1.5349±0.2289,1.6907±0.3173,0.7164±0.0471,0.6834±0.0435,0.6519±0.0495,0.6121±0.0572,0.4439±0.0797,0.4980±0.0789,0.5242±0.0724,0.5759±0.0878,0.1957±0.0332,0.2146±0.0330,0.2530±0.0456,0.2854±0.0569
PartialOrder__Subset__2,nan±nan,nan±nan,nan±nan,nan±nan,0.8256±0.0322,0.8017±0.0350,0.7665±0.0389,0.7198±0.0582,0.4598±0.1346,0.4311±0.1143,0.4072±0.1045,0.3831±0.1036,0.5525±0.0574,0.5042±0.0662,0.4581±0.0606,0.3935±0.0804,1.2023±0.1870,1.3118±0.1880,1.5349±0.2289,1.6907±0.3173,0.7164±0.0471,0.6834±0.0435,0.6519±0.0495,0.6121±0.0572,0.4439±0.0797,0.4980±0.0789,0.5242±0.0724,0.5759±0.0878,0.1957±0.0332,0.2146±0.0330,0.2530±0.0456,0.2854±0.0569
PartialOrder__Subset__None,nan±nan,nan±nan,nan±nan,nan±nan,0.8256±0.0322,0.8017±0.0350,0.7665±0.0389,0.7198±0.0582,0.4598±0.1346,0.4311±0.1143,0.4072±0.1045,0.3831±0.1036,0.5525±0.0574,0.5042±0.0662,0.4581±0.0606,0.3935±0.0804,1.2023±0.1870,1.3118±0.1880,1.5349±0.2289,1.6907±0.3173,0.7164±0.0471,0.6834±0.0435,0.6519±0.0495,0.6121±0.0572,0.4439±0.0797,0.4980±0.0789,0.5242±0.0724,0.5759±0.0878,0.1957±0.0332,0.2146±0.0330,0.2530±0.0456,0.2854±0.0569
PreOrder__Hamming__2,nan±nan,nan±nan,nan±nan,nan±nan,0.8256±0.0322,0.8017±0.0350,0.7665±0.0389,0.7198±0.0582,0.4598±0.1346,0.4311±0.1143,0.4072±0.1045,0.3831±0.1036,0.5525±0.0574,0.5042±0.0662,0.4581±0.0606,0.3935±0.0804,1.2023±0.1870,1.3118±0.1880,1.5349±0.2289,1.6907±0.3173,0.7164±0.0471,0.6834±0.0435,0.6519±0.0495,0.6121±0.0572,0.4439±0.0797,0.4980±0.0789,0.5242±0.0724,0.5759±0.0878,0.1957±0.0332,0.2146±0.0330,0.2530±0.0456,0.2854±0.0569
PreOrder__Hamming__None,nan±nan,nan±nan,nan±nan,nan±nan,0.8256±0.0322,0.8017±0.0350,0.7665±0.0389,0.7198±0.0582,0.4598±0.1346,0.4311±0.1143,0.4072±0.1045,0.3831±0.1036,0.5525±0.0574,0.5042±0.0662,0.4581±0.0606,0.3935±0.0804,1.2023±0.1870,1.3118±0.1880,1.5349±0.2289,1.6907±0.3173,0.7164±0.0471,0.6834±0.0435,0.6519±0.0495,0.6121±0.0572,0.4439±0.0797,0.4980±0.0789,0.5242±0.0724,0.5759±0.0878,0.1957±0.0332,0.2146±0.0330,0.2530±0.0456,0.2854±0.0569
PreOrder__Subset__2,nan±nan,nan±nan,nan±nan,nan±nan,0.8256±0.0322,0.8017±0.0350,0.7665±0.0389,0.7198±0.0582,0.4598±0.1346,0.4311±0.1143,0.4072±0.1045,0.3831±0.1036,0.5525±0.0574,0.5042±0.0662,0.4581±0.0606,0.3935±0.0804,1.2023±0.1870,1.3118±0.1880,1.5349±0.2289,1.6907±0.3173,0.7164±0.0471,0.6834±0.0435,0.6519±0.0495,0.6121±0.0572,0.4439±0.0797,0.4980±0.0789,0.5242±0.0724,0.5759±0.0878,0.1957±0.0332,0.2146±0.0330,0.2530±0.0456,0.2854±0.0569
PreOrder__Subset__None,nan±nan,nan±nan,nan±nan,nan±nan,0.8256±0.0322,0.8017±0.0350,0.7665±0.0389,0.7198±0.0582,0.4598±0.1346,0.4311±0.1143,0.4072±0.1045,0.3831±0.1036,0.5525±0.0574,0.5042±0.0662,0.4581±0.0606,0.3935±0.0804,1.2023±0.1870,1.3118±0.1880,1.5349±0.2289,1.6907±0.3173,0.7164±0.0471,0.6834±0.0435,0.6519±0.0495,0.6121±0.0572,0.4439±0.0797,0.4980±0.0789,0.5242±0.0724,0.5759±0.0878,0.1957±0.0332,0.2146±0.0330,0.2530±0.0456,0.2854±0.0569
br,nan±nan,nan±nan,nan±nan,nan±nan,0.8256±0.0322,0.8049±0.0391,0.7722±0.0401,0.7021±0.0443,0.4598±0.1346,0.4541±0.1344,0.4052±0.0940,0.3560±0.0773,0.5525±0.0574,0.5243±0.0673,0.4687±0.0608,0.3786±0.0570,1.2023±0.1870,1.2943±0.1787,1.4367±0.1827,1.8185±0.2477,0.7164±0.0471,0.6950±0.0462,0.6692±0.0412,0.5940±0.0443,0.4439±0.0797,0.4787±0.0923,0.4933±0.0752,0.5913±0.0744,0.1957±0.0332,0.2120±0.0347,0.2375±0.0354,0.3131±0.0462
cc,nan±nan,nan±nan,nan±nan,nan±nan,0.8260±0.0341,0.8032±0.0376,0.7680±0.0411,0.7190±0.0515,0.4833±0.1367,0.4380±0.1288,0.4084±0.1170,0.3625±0.1003,0.5474±0.0609,0.5197±0.0692,0.4609±0.0685,0.3884±0.0671,1.1827±0.2391,1.3049±0.2104,1.4689±0.2747,1.7206±0.2317,0.7126±0.0471,0.6923±0.0471,0.6580±0.0486,0.6072±0.0521,0.4584±0.0772,0.4817±0.0831,0.5155±0.0730,0.5812±0.0827,0.1923±0.0421,0.2135±0.0386,0.2434±0.0476,0.2926±0.0480
clr,nan±nan,nan±nan,nan±nan,nan±nan,0.8196±0.0320,0.8176±0.0345,0.7948±0.0363,0.7615±0.0505,0.4718±0.1225,0.4491±0.1077,0.4192±0.0891,0.3955±0.0981,0.5431±0.0582,0.5475±0.0610,0.5096±0.0620,0.4482±0.0702,1.2266±0.1665,1.2446±0.1737,1.3487±0.1898,1.5150±0.2417,0.6985±0.0531,0.7009±0.0424,0.6810±0.0451,0.6430±0.0558,0.4823±0.1057,0.4751±0.0792,0.5020±0.0722,0.5483±0.0846,0.2023±0.0376,0.2043±0.0351,0.2229±0.0415,0.2540±0.0483
ecc,0.7905±0.0509,0.7724±0.0347,0.7295±0.0482,0.6952±0.0720,0.8263±0.0341,0.8057±0.0310,0.7894±0.0391,0.7466±0.0362,0.4732±0.1395,0.4595±0.1350,0.4294±0.1062,0.3937±0.0943,0.5736±0.0706,0.5280±0.0563,0.5090±0.0605,0.4242±0.0598,1.2214±0.1877,1.3222±0.1634,1.3271±0.1603,1.5348±0.2197,0.7011±0.0557,0.6900±0.0416,0.6938±0.0421,0.6517±0.0505,0.4822±0.1117,0.4884±0.0778,0.4837±0.0727,0.5301±0.0856,0.2001±0.0349,0.2176±0.0330,0.2159±0.0342,0.2561±0.0432
