Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.8507±0.0152,0.8375±0.0170,0.8157±0.0163,0.7732±0.0234,0.8706±0.0119,0.8571±0.0143,0.8313±0.0157,0.7872±0.0206,0.7395±0.0240,0.7172±0.0239,0.6854±0.0183,0.6268±0.0271,0.7549±0.0258,0.7315±0.0276,0.6922±0.0258,0.6338±0.0341,1.7065±0.1127,1.8000±0.1604,1.9355±0.1717,2.1596±0.1663,0.8124±0.0126,0.7999±0.0160,0.7787±0.0149,0.7448±0.0202,0.2564±0.0273,0.2665±0.0277,0.2894±0.0336,0.3258±0.0403,0.1483±0.0138,0.1629±0.0185,0.1868±0.0186,0.2253±0.0199
PartialOrder__Hamming__None,0.8507±0.0152,0.8375±0.0170,0.8157±0.0163,0.7732±0.0234,0.8706±0.0119,0.8571±0.0143,0.8313±0.0157,0.7872±0.0206,0.7395±0.0240,0.7172±0.0239,0.6854±0.0183,0.6268±0.0271,0.7549±0.0258,0.7315±0.0276,0.6922±0.0258,0.6338±0.0341,1.7065±0.1127,1.8000±0.1604,1.9355±0.1717,2.1596±0.1663,0.8124±0.0126,0.7999±0.0160,0.7787±0.0149,0.7448±0.0202,0.2564±0.0273,0.2665±0.0277,0.2894±0.0336,0.3258±0.0403,0.1483±0.0138,0.1629±0.0185,0.1868±0.0186,0.2253±0.0199
PartialOrder__Subset__2,0.8507±0.0152,0.8375±0.0170,0.8157±0.0163,0.7732±0.0234,0.8706±0.0119,0.8571±0.0143,0.8313±0.0157,0.7872±0.0206,0.7395±0.0240,0.7172±0.0239,0.6854±0.0183,0.6268±0.0271,0.7549±0.0258,0.7315±0.0276,0.6922±0.0258,0.6338±0.0341,1.7065±0.1127,1.8000±0.1604,1.9355±0.1717,2.1596±0.1663,0.8124±0.0126,0.7999±0.0160,0.7787±0.0149,0.7448±0.0202,0.2564±0.0273,0.2665±0.0277,0.2894±0.0336,0.3258±0.0403,0.1483±0.0138,0.1629±0.0185,0.1868±0.0186,0.2253±0.0199
PartialOrder__Subset__None,0.8507±0.0152,0.8375±0.0170,0.8157±0.0163,0.7732±0.0234,0.8706±0.0119,0.8571±0.0143,0.8313±0.0157,0.7872±0.0206,0.7395±0.0240,0.7172±0.0239,0.6854±0.0183,0.6268±0.0271,0.7549±0.0258,0.7315±0.0276,0.6922±0.0258,0.6338±0.0341,1.7065±0.1127,1.8000±0.1604,1.9355±0.1717,2.1596±0.1663,0.8124±0.0126,0.7999±0.0160,0.7787±0.0149,0.7448±0.0202,0.2564±0.0273,0.2665±0.0277,0.2894±0.0336,0.3258±0.0403,0.1483±0.0138,0.1629±0.0185,0.1868±0.0186,0.2253±0.0199
PreOrder__Hamming__2,0.8507±0.0152,0.8375±0.0170,0.8157±0.0163,0.7732±0.0234,0.8706±0.0119,0.8571±0.0143,0.8313±0.0157,0.7872±0.0206,0.7395±0.0240,0.7172±0.0239,0.6854±0.0183,0.6268±0.0271,0.7549±0.0258,0.7315±0.0276,0.6922±0.0258,0.6338±0.0341,1.7065±0.1127,1.8000±0.1604,1.9355±0.1717,2.1596±0.1663,0.8124±0.0126,0.7999±0.0160,0.7787±0.0149,0.7448±0.0202,0.2564±0.0273,0.2665±0.0277,0.2894±0.0336,0.3258±0.0403,0.1483±0.0138,0.1629±0.0185,0.1868±0.0186,0.2253±0.0199
PreOrder__Hamming__None,0.8507±0.0152,0.8375±0.0170,0.8157±0.0163,0.7732±0.0234,0.8706±0.0119,0.8571±0.0143,0.8313±0.0157,0.7872±0.0206,0.7395±0.0240,0.7172±0.0239,0.6854±0.0183,0.6268±0.0271,0.7549±0.0258,0.7315±0.0276,0.6922±0.0258,0.6338±0.0341,1.7065±0.1127,1.8000±0.1604,1.9355±0.1717,2.1596±0.1663,0.8124±0.0126,0.7999±0.0160,0.7787±0.0149,0.7448±0.0202,0.2564±0.0273,0.2665±0.0277,0.2894±0.0336,0.3258±0.0403,0.1483±0.0138,0.1629±0.0185,0.1868±0.0186,0.2253±0.0199
PreOrder__Subset__2,0.8507±0.0152,0.8375±0.0170,0.8157±0.0163,0.7732±0.0234,0.8706±0.0119,0.8571±0.0143,0.8313±0.0157,0.7872±0.0206,0.7395±0.0240,0.7172±0.0239,0.6854±0.0183,0.6268±0.0271,0.7549±0.0258,0.7315±0.0276,0.6922±0.0258,0.6338±0.0341,1.7065±0.1127,1.8000±0.1604,1.9355±0.1717,2.1596±0.1663,0.8124±0.0126,0.7999±0.0160,0.7787±0.0149,0.7448±0.0202,0.2564±0.0273,0.2665±0.0277,0.2894±0.0336,0.3258±0.0403,0.1483±0.0138,0.1629±0.0185,0.1868±0.0186,0.2253±0.0199
PreOrder__Subset__None,0.8507±0.0152,0.8375±0.0170,0.8157±0.0163,0.7732±0.0234,0.8706±0.0119,0.8571±0.0143,0.8313±0.0157,0.7872±0.0206,0.7395±0.0240,0.7172±0.0239,0.6854±0.0183,0.6268±0.0271,0.7549±0.0258,0.7315±0.0276,0.6922±0.0258,0.6338±0.0341,1.7065±0.1127,1.8000±0.1604,1.9355±0.1717,2.1596±0.1663,0.8124±0.0126,0.7999±0.0160,0.7787±0.0149,0.7448±0.0202,0.2564±0.0273,0.2665±0.0277,0.2894±0.0336,0.3258±0.0403,0.1483±0.0138,0.1629±0.0185,0.1868±0.0186,0.2253±0.0199
br,0.8507±0.0152,0.8388±0.0150,0.8174±0.0164,0.7684±0.0210,0.8706±0.0119,0.8582±0.0131,0.8347±0.0159,0.7834±0.0191,0.7395±0.0240,0.7214±0.0225,0.6862±0.0273,0.6145±0.0310,0.7549±0.0258,0.7338±0.0250,0.6969±0.0319,0.6208±0.0340,1.7065±0.1127,1.7884±0.1629,1.9100±0.1621,2.1871±0.1607,0.8124±0.0126,0.8023±0.0120,0.7813±0.0140,0.7384±0.0214,0.2564±0.0273,0.2587±0.0265,0.2887±0.0288,0.3433±0.0486,0.1483±0.0138,0.1594±0.0177,0.1820±0.0194,0.2299±0.0190
cc,0.8486±0.0168,0.8384±0.0159,0.8183±0.0176,0.7783±0.0184,0.8698±0.0122,0.8569±0.0145,0.8337±0.0171,0.7891±0.0157,0.7337±0.0271,0.7150±0.0264,0.6875±0.0210,0.6278±0.0261,0.7514±0.0263,0.7279±0.0291,0.6981±0.0271,0.6278±0.0299,1.6948±0.1344,1.7737±0.1544,1.9190±0.1756,2.1470±0.1667,0.8161±0.0132,0.8000±0.0163,0.7806±0.0172,0.7412±0.0195,0.2514±0.0368,0.2749±0.0333,0.2972±0.0343,0.3393±0.0421,0.1463±0.0145,0.1605±0.0190,0.1829±0.0190,0.2258±0.0206
clr,0.8528±0.0145,0.8482±0.0165,0.8428±0.0112,0.8125±0.0142,0.8670±0.0097,0.8632±0.0135,0.8564±0.0086,0.8240±0.0155,0.7346±0.0207,0.7293±0.0255,0.7198±0.0189,0.6761±0.0217,0.7343±0.0189,0.7272±0.0228,0.7191±0.0194,0.6720±0.0316,1.7184±0.1045,1.7461±0.1506,1.7771±0.1253,1.9625±0.1429,0.8104±0.0085,0.8064±0.0116,0.8028±0.0127,0.7711±0.0173,0.2598±0.0275,0.2699±0.0268,0.2705±0.0251,0.3143±0.0386,0.1481±0.0075,0.1530±0.0158,0.1591±0.0140,0.1923±0.0182
ecc,0.8528±0.0078,0.8432±0.0122,0.8233±0.0161,0.7919±0.0178,0.8733±0.0076,0.8622±0.0100,0.8412±0.0144,0.8047±0.0172,0.7431±0.0220,0.7313±0.0216,0.7029±0.0215,0.6576±0.0234,0.7577±0.0255,0.7446±0.0247,0.7092±0.0281,0.6578±0.0287,1.6712±0.1132,1.7215±0.1330,1.8456±0.1512,2.0248±0.1747,0.8179±0.0128,0.8121±0.0131,0.7939±0.0170,0.7656±0.0191,0.2581±0.0305,0.2577±0.0272,0.2752±0.0311,0.3130±0.0389,0.1434±0.0125,0.1502±0.0152,0.1704±0.0177,0.2002±0.0211
