Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.3727784577723378,0.035200395969947215
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.0034108527131782944,0.0044287928239025425
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.15747273172530565,0.024314339037088354
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.10406971406366608,0.01783845184585475
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.10510296289468439,0.013511519633222169
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.1142255689464545,0.016247600743722404
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.059209943132082714,0.008626943780704393
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.06191190117943684,0.009466397128145525
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.7065758569205856,0.04853587138639805
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.7567241022596416,0.037173646449917136
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.11318771559717629,0.02000509908293977
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.4280361757105943,0.03623957080316592
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.7014477976779548,0.048302208242337934
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.41977053989285834,0.06345475309142247
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.7725321001759136,0.011221940884819539
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.040425010955758706,0.020481957876595326
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.25270310149540914,0.04111884120709737
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,jaccard_pa,0.1910114579916174,0.03024559169192692
