Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.9422603019175847,0.006170464726242604
RF,,,,,BinaryVector,subset0_1,0.4257364341085272,0.028071864304511696
RF,,,,,BinaryVector,f1,0.5265156325156325,0.026965450374617516
RF,,,,,BinaryVector,jaccard,0.4988570533686813,0.02402894878755407
RF,,,,,BinaryVector,macro_f1,0.22558724215650122,0.03451586412330731
RF,,,,,BinaryVector,micro_f1,0.347112478422272,0.05315429555341945
RF,,,,,BinaryVector,macro_precision,0.30220293306903745,0.051925406001669394
RF,,,,,BinaryVector,micro_precision,0.43325870348190115,0.06406822683754222
RF,,,,,BinaryVector,macro_recall,0.2017997215393011,0.035276103810974915
RF,,,,,BinaryVector,micro_recall,0.29041653384876187,0.048642079125413865
RF,,,,,BinaryVector,example_precision,0.557827645222994,0.03394699302249189
RF,,,,,BinaryVector,example_recall,0.5228837209302326,0.027927863750206283
RF,,,,,BinaryVector,mfrd,0.9990550790526185,0.0025589181194910354
RF,,,,,BinaryVector,afrd,0.7565631313628711,0.04703999244823866
RF,,,,,ScoreVector,ranking_loss,0.1274943585066704,0.01277429773996442
RF,,,,,ScoreVector,one_error,0.7283720930232559,0.05522862763112467
RF,,,,,ScoreVector,coverage,3.069147286821705,0.39351708192707885
RF,,,,,ScoreVector,lr_ap,0.7453968347963729,0.01678558775245322
RF,,,,,ScoreVector,auc_macro,,
RF,,,,,ScoreVector,auc_micro,0.7987305072083423,0.031542011546289855
RF,,,,,ScoreVector,auprc_macro,0.2922938097753153,0.03870235875460052
RF,,,,,ScoreVector,auprc_micro,0.31557159604259183,0.06114429565938184
