Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.904577723378213,0.008937509114299188
RF,,,,,BinaryVector,subset0_1,0.25395348837209303,0.03604642827363873
RF,,,,,BinaryVector,f1,0.35999015024596415,0.0376249173519329
RF,,,,,BinaryVector,jaccard,0.3282691589203217,0.03596799866449734
RF,,,,,BinaryVector,macro_f1,0.17770465724081347,0.03816900400106653
RF,,,,,BinaryVector,micro_f1,0.25205269925245094,0.03920743284310436
RF,,,,,BinaryVector,macro_precision,0.17344359835052456,0.03991425054930417
RF,,,,,BinaryVector,micro_precision,0.21693605300541804,0.03668826514747341
RF,,,,,BinaryVector,macro_recall,0.22709811109535727,0.05693296330634475
RF,,,,,BinaryVector,micro_recall,0.3029568335833484,0.04642629425782303
RF,,,,,BinaryVector,example_precision,0.36871773102005656,0.04242112286383986
RF,,,,,BinaryVector,example_recall,0.3825116279069768,0.038546509007984835
RF,,,,,BinaryVector,mfrd,0.9827397349744951,0.00916147746878786
RF,,,,,BinaryVector,afrd,0.6945271440250894,0.06395293760565984
RF,,,,,ScoreVector,ranking_loss,0.15828079910159254,0.017623850769418196
RF,,,,,ScoreVector,one_error,0.8062015503875969,0.042628611115868284
RF,,,,,ScoreVector,coverage,3.667906976744186,0.5487394473434993
RF,,,,,ScoreVector,lr_ap,0.6915853268346904,0.025020549117250178
RF,,,,,ScoreVector,auc_macro,,
RF,,,,,ScoreVector,auc_micro,0.7377596014007396,0.024313887702430415
RF,,,,,ScoreVector,auprc_macro,0.214121997964426,0.03741060461749345
RF,,,,,ScoreVector,auprc_micro,0.19640173167838565,0.04331004726680002
