Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.6696696696696697,0.012776004436145684
LightGBM,,,,,BinaryVector,subset0_1,0.08468468468468468,0.026480970192250576
LightGBM,,,,,BinaryVector,f1,0.5196739596739592,0.0165620692589242
LightGBM,,,,,BinaryVector,jaccard,0.4095795795795797,0.019477756200091362
LightGBM,,,,,BinaryVector,macro_f1,0.4037865805709372,0.016464014192816106
LightGBM,,,,,BinaryVector,micro_f1,0.5621728101509109,0.01878351047382394
LightGBM,,,,,BinaryVector,macro_precision,0.4879696056153587,0.014812371168432205
LightGBM,,,,,BinaryVector,micro_precision,0.6535861309572276,0.02857088817636451
LightGBM,,,,,BinaryVector,macro_recall,0.36219175985900093,0.01663249539817416
LightGBM,,,,,BinaryVector,micro_recall,0.4938151478286089,0.021124071446207666
LightGBM,,,,,BinaryVector,example_precision,0.6336336336336336,0.023046947572792603
LightGBM,,,,,BinaryVector,example_recall,0.492972972972973,0.020981816723759327
LightGBM,,,,,BinaryVector,mfrd,0.996295025728988,0.004538944819146675
LightGBM,,,,,BinaryVector,afrd,0.5649462985705787,0.02062754219689354
LightGBM,,,,,ScoreVector,ranking_loss,0.22374374374374373,0.015107252560633975
LightGBM,,,,,ScoreVector,one_error,0.2918918918918919,0.03718877016315369
LightGBM,,,,,ScoreVector,coverage,2.7657657657657655,0.10974733212858416
LightGBM,,,,,ScoreVector,lr_ap,0.780633133133133,0.021652246031223586
LightGBM,,,,,ScoreVector,auc_macro,0.5555253249673433,0.020983578544357902
LightGBM,,,,,ScoreVector,auc_micro,0.7665328319252261,0.01567047071896431
LightGBM,,,,,ScoreVector,auprc_macro,0.5122132612429018,0.013910399134865754
LightGBM,,,,,ScoreVector,auprc_micro,0.6745814779739844,0.025316043311804367
