Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.6006006006006006,0.005024985144348808
LightGBM,,,,,BinaryVector,subset0_1,0.05225225225225225,0.02162162162162162
LightGBM,,,,,BinaryVector,f1,0.5146861146861144,0.014231577982129113
LightGBM,,,,,BinaryVector,jaccard,0.395975975975976,0.013345434543156294
LightGBM,,,,,BinaryVector,macro_f1,0.4569957705350742,0.008359469319058592
LightGBM,,,,,BinaryVector,micro_f1,0.5496184491120573,0.010283932969450762
LightGBM,,,,,BinaryVector,macro_precision,0.4557954683378572,0.010614588710098264
LightGBM,,,,,BinaryVector,micro_precision,0.5338792647195338,0.02245242541681768
LightGBM,,,,,BinaryVector,macro_recall,0.48680069200671794,0.039703476760197996
LightGBM,,,,,BinaryVector,micro_recall,0.5674218476298273,0.01615123741261613
LightGBM,,,,,BinaryVector,example_precision,0.5367567567567567,0.0232224379419196
LightGBM,,,,,BinaryVector,example_recall,0.5633933933933932,0.011171171171171154
LightGBM,,,,,BinaryVector,mfrd,0.6939855609217882,0.15964108855224543
LightGBM,,,,,BinaryVector,afrd,0.268171143255293,0.06604017102519356
LightGBM,,,,,ScoreVector,ranking_loss,0.33722722722722726,0.009051017064335257
LightGBM,,,,,ScoreVector,one_error,0.39459459459459467,0.04607824091006999
LightGBM,,,,,ScoreVector,coverage,3.261261261261261,0.07450837163292019
LightGBM,,,,,ScoreVector,lr_ap,0.700247747747748,0.017051197786330068
LightGBM,,,,,ScoreVector,auc_macro,0.5418821312908146,0.04308370427741966
LightGBM,,,,,ScoreVector,auc_micro,0.6511252119423848,0.010475058442911949
LightGBM,,,,,ScoreVector,auprc_macro,0.4810767587594807,0.016881171746434297
LightGBM,,,,,ScoreVector,auprc_micro,0.5569122941086782,0.026830541256933172
