Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.5597±0.0167,0.5672±0.0280,0.5124±0.0220,0.5408±0.0141,0.7373±0.0082,0.6970±0.0193,0.6483±0.0198,0.6068±0.0130,0.5016±0.0222,0.4960±0.0301,0.4868±0.0213,0.4792±0.0220,0.6309±0.0281,0.5956±0.0400,0.5613±0.0256,0.5300±0.0269,2.8036±0.0633,3.0919±0.0244,3.3081±0.1634,3.4757±0.1616,0.7701±0.0222,0.7288±0.0257,0.7063±0.0094,0.6755±0.0193,0.3117±0.0340,0.3658±0.0432,0.3838±0.0294,0.4360±0.0405,0.2396±0.0103,0.2979±0.0179,0.3459±0.0275,0.3800±0.0255
PartialOrder__Hamming__None,0.5597±0.0167,0.5672±0.0280,0.5124±0.0220,0.5408±0.0141,0.7373±0.0082,0.6970±0.0193,0.6483±0.0198,0.6068±0.0130,0.5016±0.0222,0.4960±0.0301,0.4868±0.0213,0.4792±0.0220,0.6309±0.0281,0.5956±0.0400,0.5613±0.0256,0.5300±0.0269,2.8036±0.0633,3.0919±0.0244,3.3081±0.1634,3.4757±0.1616,0.7701±0.0222,0.7288±0.0257,0.7063±0.0094,0.6755±0.0193,0.3117±0.0340,0.3658±0.0432,0.3838±0.0294,0.4360±0.0405,0.2396±0.0103,0.2979±0.0179,0.3459±0.0275,0.3800±0.0255
PartialOrder__Subset__2,0.5597±0.0167,0.5672±0.0280,0.5124±0.0220,0.5408±0.0141,0.7373±0.0082,0.6970±0.0193,0.6483±0.0198,0.6068±0.0130,0.5016±0.0222,0.4960±0.0301,0.4868±0.0213,0.4792±0.0220,0.6309±0.0281,0.5956±0.0400,0.5613±0.0256,0.5300±0.0269,2.8036±0.0633,3.0919±0.0244,3.3081±0.1634,3.4757±0.1616,0.7701±0.0222,0.7288±0.0257,0.7063±0.0094,0.6755±0.0193,0.3117±0.0340,0.3658±0.0432,0.3838±0.0294,0.4360±0.0405,0.2396±0.0103,0.2979±0.0179,0.3459±0.0275,0.3800±0.0255
PartialOrder__Subset__None,0.5597±0.0167,0.5672±0.0280,0.5124±0.0220,0.5408±0.0141,0.7373±0.0082,0.6970±0.0193,0.6483±0.0198,0.6068±0.0130,0.5016±0.0222,0.4960±0.0301,0.4868±0.0213,0.4792±0.0220,0.6309±0.0281,0.5956±0.0400,0.5613±0.0256,0.5300±0.0269,2.8036±0.0633,3.0919±0.0244,3.3081±0.1634,3.4757±0.1616,0.7701±0.0222,0.7288±0.0257,0.7063±0.0094,0.6755±0.0193,0.3117±0.0340,0.3658±0.0432,0.3838±0.0294,0.4360±0.0405,0.2396±0.0103,0.2979±0.0179,0.3459±0.0275,0.3800±0.0255
PreOrder__Hamming__2,0.5597±0.0167,0.5672±0.0280,0.5124±0.0220,0.5408±0.0141,0.7373±0.0082,0.6970±0.0193,0.6483±0.0198,0.6068±0.0130,0.5016±0.0222,0.4960±0.0301,0.4868±0.0213,0.4792±0.0220,0.6309±0.0281,0.5956±0.0400,0.5613±0.0256,0.5300±0.0269,2.8036±0.0633,3.0919±0.0244,3.3081±0.1634,3.4757±0.1616,0.7701±0.0222,0.7288±0.0257,0.7063±0.0094,0.6755±0.0193,0.3117±0.0340,0.3658±0.0432,0.3838±0.0294,0.4360±0.0405,0.2396±0.0103,0.2979±0.0179,0.3459±0.0275,0.3800±0.0255
PreOrder__Hamming__None,0.5597±0.0167,0.5672±0.0280,0.5124±0.0220,0.5408±0.0141,0.7373±0.0082,0.6970±0.0193,0.6483±0.0198,0.6068±0.0130,0.5016±0.0222,0.4960±0.0301,0.4868±0.0213,0.4792±0.0220,0.6309±0.0281,0.5956±0.0400,0.5613±0.0256,0.5300±0.0269,2.8036±0.0633,3.0919±0.0244,3.3081±0.1634,3.4757±0.1616,0.7701±0.0222,0.7288±0.0257,0.7063±0.0094,0.6755±0.0193,0.3117±0.0340,0.3658±0.0432,0.3838±0.0294,0.4360±0.0405,0.2396±0.0103,0.2979±0.0179,0.3459±0.0275,0.3800±0.0255
PreOrder__Subset__2,0.5597±0.0167,0.5672±0.0280,0.5124±0.0220,0.5408±0.0141,0.7373±0.0082,0.6970±0.0193,0.6483±0.0198,0.6068±0.0130,0.5016±0.0222,0.4960±0.0301,0.4868±0.0213,0.4792±0.0220,0.6309±0.0281,0.5956±0.0400,0.5613±0.0256,0.5300±0.0269,2.8036±0.0633,3.0919±0.0244,3.3081±0.1634,3.4757±0.1616,0.7701±0.0222,0.7288±0.0257,0.7063±0.0094,0.6755±0.0193,0.3117±0.0340,0.3658±0.0432,0.3838±0.0294,0.4360±0.0405,0.2396±0.0103,0.2979±0.0179,0.3459±0.0275,0.3800±0.0255
PreOrder__Subset__None,0.5597±0.0167,0.5672±0.0280,0.5124±0.0220,0.5408±0.0141,0.7373±0.0082,0.6970±0.0193,0.6483±0.0198,0.6068±0.0130,0.5016±0.0222,0.4960±0.0301,0.4868±0.0213,0.4792±0.0220,0.6309±0.0281,0.5956±0.0400,0.5613±0.0256,0.5300±0.0269,2.8036±0.0633,3.0919±0.0244,3.3081±0.1634,3.4757±0.1616,0.7701±0.0222,0.7288±0.0257,0.7063±0.0094,0.6755±0.0193,0.3117±0.0340,0.3658±0.0432,0.3838±0.0294,0.4360±0.0405,0.2396±0.0103,0.2979±0.0179,0.3459±0.0275,0.3800±0.0255
br,0.5597±0.0167,0.5626±0.0294,0.5449±0.0441,0.5079±0.0487,0.7373±0.0082,0.6974±0.0138,0.6570±0.0142,0.6067±0.0264,0.5016±0.0222,0.4965±0.0236,0.4874±0.0246,0.4758±0.0356,0.6309±0.0281,0.5924±0.0358,0.5662±0.0346,0.5240±0.0484,2.8036±0.0633,3.0288±0.0978,3.2757±0.0785,3.4631±0.0805,0.7701±0.0222,0.7359±0.0224,0.7069±0.0279,0.6637±0.0370,0.3117±0.0340,0.3604±0.0327,0.3910±0.0722,0.4631±0.0680,0.2396±0.0103,0.2870±0.0152,0.3383±0.0131,0.3885±0.0309
cc,0.5561±0.0404,0.5580±0.0410,0.5419±0.0431,0.5223±0.0303,0.7277±0.0147,0.7032±0.0120,0.6511±0.0105,0.6126±0.0325,0.5052±0.0204,0.5062±0.0150,0.4811±0.0169,0.4778±0.0252,0.6015±0.0218,0.6016±0.0202,0.5569±0.0268,0.5290±0.0420,2.8108±0.1115,2.9748±0.0696,3.2613±0.0745,3.4793±0.0792,0.7627±0.0180,0.7557±0.0080,0.7002±0.0171,0.6815±0.0338,0.3658±0.0349,0.3387±0.0146,0.3946±0.0461,0.4144±0.0598,0.2554±0.0136,0.2762±0.0053,0.3372±0.0091,0.3735±0.0346
