Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.7015015015015014,0.015488044394267418
RF,,,,,BinaryVector,subset0_1,0.14018018018018016,0.028383954836057976
RF,,,,,BinaryVector,f1,0.6168253968253964,0.024838907250734916
RF,,,,,BinaryVector,jaccard,0.5042102102102102,0.026237087206956982
RF,,,,,BinaryVector,macro_f1,0.4721051634686795,0.021836894117422408
RF,,,,,BinaryVector,micro_f1,0.6489235182577967,0.022925184343609177
RF,,,,,BinaryVector,macro_precision,0.503247827924571,0.02402865383743167
RF,,,,,BinaryVector,micro_precision,0.656102034374658,0.025894538025255077
RF,,,,,BinaryVector,macro_recall,0.4738795900801457,0.025874292491035535
RF,,,,,BinaryVector,micro_recall,0.6429770688882985,0.033007413808440106
RF,,,,,BinaryVector,example_precision,0.6677957957957957,0.02841123731224707
RF,,,,,BinaryVector,example_recall,0.6323783783783783,0.033208403715876446
RF,,,,,BinaryVector,mfrd,0.9992659932659933,0.0024892517991570956
RF,,,,,BinaryVector,afrd,0.5972106635316645,0.048972042910916815
RF,,,,,ScoreVector,ranking_loss,0.22243543543543542,0.016983410730587876
RF,,,,,ScoreVector,one_error,0.2702702702702703,0.05726215705250704
RF,,,,,ScoreVector,coverage,2.7772972972972974,0.0893126818179361
RF,,,,,ScoreVector,lr_ap,0.7808423423423424,0.026333709795220397
RF,,,,,ScoreVector,auc_macro,0.5814745349105074,0.0293092055971691
RF,,,,,ScoreVector,auc_micro,0.7730437728302826,0.015620651749624603
RF,,,,,ScoreVector,auprc_macro,0.5158172485888147,0.02451603883223362
RF,,,,,ScoreVector,auprc_micro,0.6774163009448452,0.03478146282296298
