Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.6679879879879879,0.01914550427954043
RF,,,,,BinaryVector,subset0_1,0.11747747747747748,0.03115398161665007
RF,,,,,BinaryVector,f1,0.5859997139997135,0.02588836784239066
RF,,,,,BinaryVector,jaccard,0.47203603603603594,0.026067978507499045
RF,,,,,BinaryVector,macro_f1,0.45017211844575605,0.02640684765359943
RF,,,,,BinaryVector,micro_f1,0.618585649671733,0.023212337806733128
RF,,,,,BinaryVector,macro_precision,0.4635810889687058,0.02882543727994977
RF,,,,,BinaryVector,micro_precision,0.6133561807420616,0.03843055524412648
RF,,,,,BinaryVector,macro_recall,0.4660851564415912,0.04206023224353631
RF,,,,,BinaryVector,micro_recall,0.627869821763831,0.04442689684834046
RF,,,,,BinaryVector,example_precision,0.621057057057057,0.039037751884532526
RF,,,,,BinaryVector,example_recall,0.615915915915916,0.04236574226162738
RF,,,,,BinaryVector,mfrd,0.9906265376223966,0.014610334672239319
RF,,,,,BinaryVector,afrd,0.5678761661988649,0.06773353479102241
RF,,,,,ScoreVector,ranking_loss,0.29570570570570565,0.024612441748134664
RF,,,,,ScoreVector,one_error,0.301981981981982,0.03806197023858996
RF,,,,,ScoreVector,coverage,3.202882882882883,0.1725618236702249
RF,,,,,ScoreVector,lr_ap,0.7369602602602605,0.023161510368054514
RF,,,,,ScoreVector,auc_macro,0.5093453058024532,0.045612829602499017
RF,,,,,ScoreVector,auc_micro,0.6904034296430962,0.023071676857976953
RF,,,,,ScoreVector,auprc_macro,0.44224356554376243,0.019036757988821637
RF,,,,,ScoreVector,auprc_micro,0.610707362721905,0.03102601969198756
