Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.6303903903903904,0.017410581655384307
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.06882882882882883,0.02824636820506728
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.6088468468468463,0.021065824415648426
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.4817417417417418,0.0235614245391041
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.5154869027730493,0.018037635433930516
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.6355244337592294,0.021321739775368977
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.45353916732934096,0.019475242636294188
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.5517582001087536,0.023689362600222103
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.6121903572696111,0.03697315036564338
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.7507400233815466,0.0338814358524156
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.5587807807807808,0.023880015830333057
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.7424924924924925,0.03107433447254438
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.8792503943878625,0.06278800509128508
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.4686367126553669,0.06526494769715495
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.6359281902228102,0.017453074714983034
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.07764455364455364,0.02890474220693263
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.6110964288964285,0.021391610032602416
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,jaccard_pa,0.48567982527982534,0.02351684602171232
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_precision_pa,0.5654455364455364,0.024005764333078303
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_recall_pa,0.7374162708162708,0.033496043328740684
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_precision_pa,0.45287013775352036,0.01903542270637135
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_precision_pa,0.558647664824981,0.024428441454776528
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_recall_pa,0.5999919547679532,0.036645030227316265
