Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.613001107813721,0.0013457115619230034
LightGBM,,,,,BinaryVector,subset0_1,0.030786049826626295,0.0014062908641690364
LightGBM,,,,,BinaryVector,f1,0.20756346350713425,0.0024525357289879503
LightGBM,,,,,BinaryVector,jaccard,0.15132861551146734,0.0014507972253009608
LightGBM,,,,,BinaryVector,macro_f1,0.2248325274424924,0.0035450288794971127
LightGBM,,,,,BinaryVector,micro_f1,0.24655929047694122,0.004497178586749467
LightGBM,,,,,BinaryVector,macro_precision,0.14978512980048428,0.0028522670236918843
LightGBM,,,,,BinaryVector,micro_precision,0.1549972696903364,0.003112544605247141
LightGBM,,,,,BinaryVector,macro_recall,0.5709603379471899,0.008481452436773871
LightGBM,,,,,BinaryVector,micro_recall,0.6025198365315488,0.008320406632896243
LightGBM,,,,,BinaryVector,example_precision,0.16581686696467873,0.0021749974090176706
LightGBM,,,,,BinaryVector,example_recall,0.35002097157953227,0.004588395068905628
LightGBM,,,,,BinaryVector,mfrd,0.19932763773249057,0.05376262655462006
LightGBM,,,,,BinaryVector,afrd,0.06379066457162931,0.009683076528708024
LightGBM,,,,,ScoreVector,ranking_loss,0.19719437260662742,0.0031900011247389124
LightGBM,,,,,ScoreVector,one_error,0.8034846054527252,0.008720381224429233
LightGBM,,,,,ScoreVector,coverage,1.3504445906182847,0.022991536102860696
LightGBM,,,,,ScoreVector,lr_ap,0.7373193944857679,0.003964074186899952
LightGBM,,,,,ScoreVector,auc_macro,0.6230399631915504,0.005862261437101151
LightGBM,,,,,ScoreVector,auc_micro,0.6474586955386148,0.005921867525584659
LightGBM,,,,,ScoreVector,auprc_macro,0.17411837220163728,0.0049705937576303635
LightGBM,,,,,ScoreVector,auprc_micro,0.18960665727380738,0.005857061735342402
