Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.8574679989301499,0.0016438464949830851
LightGBM,,,,,BinaryVector,subset0_1,0.3271996025835124,0.006009277516371216
LightGBM,,,,,BinaryVector,f1,0.40303421712426013,0.008001601111489226
LightGBM,,,,,BinaryVector,jaccard,0.38209413621362104,0.0074936328838026344
LightGBM,,,,,BinaryVector,macro_f1,0.21316463608668523,0.003842201994374277
LightGBM,,,,,BinaryVector,micro_f1,0.2618463353113224,0.005158056968677699
LightGBM,,,,,BinaryVector,macro_precision,0.23090417814016223,0.005835319370428289
LightGBM,,,,,BinaryVector,micro_precision,0.28739611703815526,0.008084080019830799
LightGBM,,,,,BinaryVector,macro_recall,0.2050714291814762,0.0053536522315872
LightGBM,,,,,BinaryVector,micro_recall,0.24055752049653897,0.004981689603455631
LightGBM,,,,,BinaryVector,example_precision,0.4177315838766521,0.00965214411290976
LightGBM,,,,,BinaryVector,example_recall,0.40952387004399426,0.00706984968504955
LightGBM,,,,,BinaryVector,mfrd,0.933232594562338,0.018955269249357393
LightGBM,,,,,BinaryVector,afrd,0.7223860595245661,0.006025357660000928
LightGBM,,,,,ScoreVector,ranking_loss,0.17641651461219987,0.00243149308824508
LightGBM,,,,,ScoreVector,one_error,0.7753556297616722,0.005925069866816091
LightGBM,,,,,ScoreVector,coverage,1.2056565994945303,0.017572449664455984
LightGBM,,,,,ScoreVector,lr_ap,0.7586378441471586,0.001859646316164826
LightGBM,,,,,ScoreVector,auc_macro,0.6278841403049988,0.004051478126046672
LightGBM,,,,,ScoreVector,auc_micro,0.6591726762312826,0.0042364775826569815
LightGBM,,,,,ScoreVector,auprc_macro,0.18000148822238735,0.004716206194104877
LightGBM,,,,,ScoreVector,auprc_micro,0.19990603910775032,0.005844044001248747
