Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8956917282733444,0.001149475915642493
RF,,,,,BinaryVector,subset0_1,0.4517112183165657,0.0021517443425710992
RF,,,,,BinaryVector,f1,0.4677371434850563,0.001691857481256195
RF,,,,,BinaryVector,jaccard,0.4633744804639168,0.0017963009792627276
RF,,,,,BinaryVector,macro_f1,0.06681918730663308,0.0017244658850886216
RF,,,,,BinaryVector,micro_f1,0.10109766583404635,0.0021462850277897965
RF,,,,,BinaryVector,macro_precision,0.44213230436392115,0.04814377197114458
RF,,,,,BinaryVector,micro_precision,0.5376980398546526,0.032736332210955
RF,,,,,BinaryVector,macro_recall,0.037719786510797874,0.0008858608563775675
RF,,,,,BinaryVector,micro_recall,0.05581397307198512,0.0012113021497114375
RF,,,,,BinaryVector,example_precision,0.47712536424757446,0.0017198744449580747
RF,,,,,BinaryVector,example_recall,0.4641708201573386,0.0018229687504124985
RF,,,,,BinaryVector,mfrd,0.9998804220751752,9.763540794305673e-05
RF,,,,,BinaryVector,afrd,0.9560107029639258,0.0005425474050951963
RF,,,,,ScoreVector,ranking_loss,0.11095030372557244,0.0016698984310717987
RF,,,,,ScoreVector,one_error,0.7018671478193983,0.00856959157393415
RF,,,,,ScoreVector,coverage,0.724332083903106,0.008125848793256634
RF,,,,,ScoreVector,lr_ap,0.8202293833426176,0.003251930218656913
RF,,,,,ScoreVector,auc_macro,0.7108867736998922,0.004305146621662566
RF,,,,,ScoreVector,auc_micro,0.7897390319551408,0.0031940324397829174
RF,,,,,ScoreVector,auprc_macro,0.24291005857713815,0.005684121068433687
RF,,,,,ScoreVector,auprc_micro,0.3166182168327156,0.008747957170620994
