Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8953947813522539,0.00147680759566313
RF,,,,,BinaryVector,subset0_1,0.4541411713713616,0.003918763226066345
RF,,,,,BinaryVector,f1,0.4589837504447718,0.0038646068728434217
RF,,,,,BinaryVector,jaccard,0.4576544850526225,0.0038784236871648387
RF,,,,,BinaryVector,macro_f1,0.02039405292014433,0.0031520296921789667
RF,,,,,BinaryVector,micro_f1,0.03032213539785376,0.004089762425805326
RF,,,,,BinaryVector,macro_precision,0.3810795246321317,0.06751067371819637
RF,,,,,BinaryVector,micro_precision,0.5917851139198573,0.05519552343261591
RF,,,,,BinaryVector,macro_recall,0.010744594298524045,0.0016819865801373747
RF,,,,,BinaryVector,micro_recall,0.015568013538012746,0.0021472226641301496
RF,,,,,BinaryVector,example_precision,0.462062346110487,0.0038490308316179883
RF,,,,,BinaryVector,example_recall,0.4577431720113384,0.003861604338341242
RF,,,,,BinaryVector,mfrd,0.9999518280922852,8.573816917753507e-05
RF,,,,,BinaryVector,afrd,0.9878703794497394,0.0017673254841933806
RF,,,,,ScoreVector,ranking_loss,0.12496637741615618,0.0020315474267933965
RF,,,,,ScoreVector,one_error,0.7205811651445595,0.005699245029816638
RF,,,,,ScoreVector,coverage,0.8324892618187145,0.018448984189459196
RF,,,,,ScoreVector,lr_ap,0.8063620870610825,0.0024793894215828184
RF,,,,,ScoreVector,auc_macro,0.6566293957717946,0.005565679881450594
RF,,,,,ScoreVector,auc_micro,0.7516662493996517,0.0034517584671607923
RF,,,,,ScoreVector,auprc_macro,0.21141203601974945,0.006521980047526624
RF,,,,,ScoreVector,auprc_micro,0.2882396686064034,0.0075780085729296245
