Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8481588174112374,0.007567240754413371
RF,,,,,BinaryVector,subset0_1,0.29019358334147294,0.023547228213675164
RF,,,,,BinaryVector,f1,0.362687332145969,0.01288356211168021
RF,,,,,BinaryVector,jaccard,0.34270320548403305,0.015455788241693252
RF,,,,,BinaryVector,macro_f1,0.17724406341986568,0.014106468221652981
RF,,,,,BinaryVector,micro_f1,0.23189263447971797,0.02337518146656599
RF,,,,,BinaryVector,macro_precision,0.20021308488664857,0.010529832771602732
RF,,,,,BinaryVector,micro_precision,0.24837594214624092,0.011401074423883061
RF,,,,,BinaryVector,macro_recall,0.17392832427164095,0.0218499624358675
RF,,,,,BinaryVector,micro_recall,0.21993996925951947,0.03658358978411162
RF,,,,,BinaryVector,example_precision,0.3776759567857897,0.013557205665138947
RF,,,,,BinaryVector,example_recall,0.36747596289049755,0.010610243518533348
RF,,,,,BinaryVector,mfrd,0.9529904446659452,0.030763107978218802
RF,,,,,BinaryVector,afrd,0.7445749537829047,0.03464552785228104
RF,,,,,ScoreVector,ranking_loss,0.23829662647388727,0.004201018192387179
RF,,,,,ScoreVector,one_error,0.8299263772221137,0.011457945310311251
RF,,,,,ScoreVector,coverage,1.6386387249096503,0.0320366082723696
RF,,,,,ScoreVector,lr_ap,0.7071236202377109,0.004896281039262963
RF,,,,,ScoreVector,auc_macro,0.5142993096458867,0.006279358608749752
RF,,,,,ScoreVector,auc_micro,0.5622179033842346,0.006650673361899211
RF,,,,,ScoreVector,auprc_macro,0.10984072143391906,0.0018851233657321128
RF,,,,,ScoreVector,auprc_micro,0.1455877618763196,0.0066924518647720884
