Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.7109±0.0043,0.6648±0.0056,0.6366±0.0053,0.6046±0.0065,0.7897±0.0032,0.7482±0.0035,0.7124±0.0031,0.6661±0.0048,0.2429±0.0057,0.2082±0.0056,0.1835±0.0046,0.1567±0.0043,0.3166±0.0087,0.2766±0.0078,0.2386±0.0060,0.1921±0.0049,0.7243±0.0081,0.8537±0.0193,1.0225±0.0252,1.2546±0.0327,0.8202±0.0033,0.8039±0.0037,0.7808±0.0038,0.7469±0.0044,0.7019±0.0086,0.7180±0.0071,0.7429±0.0065,0.7843±0.0062,0.1110±0.0017,0.1276±0.0028,0.1505±0.0031,0.1836±0.0040
PartialOrder__Hamming__None,0.7109±0.0043,0.6648±0.0056,0.6366±0.0053,0.6046±0.0065,0.7897±0.0032,0.7482±0.0035,0.7124±0.0031,0.6661±0.0048,0.2429±0.0057,0.2082±0.0056,0.1835±0.0046,0.1567±0.0043,0.3166±0.0087,0.2766±0.0078,0.2386±0.0060,0.1921±0.0049,0.7243±0.0081,0.8537±0.0193,1.0225±0.0252,1.2546±0.0327,0.8202±0.0033,0.8039±0.0037,0.7808±0.0038,0.7469±0.0044,0.7019±0.0086,0.7180±0.0071,0.7429±0.0065,0.7843±0.0062,0.1110±0.0017,0.1276±0.0028,0.1505±0.0031,0.1836±0.0040
PartialOrder__Subset__2,0.7109±0.0043,0.6648±0.0056,0.6366±0.0053,0.6046±0.0065,0.7897±0.0032,0.7482±0.0035,0.7124±0.0031,0.6661±0.0048,0.2429±0.0057,0.2082±0.0056,0.1835±0.0046,0.1567±0.0043,0.3166±0.0087,0.2766±0.0078,0.2386±0.0060,0.1921±0.0049,0.7243±0.0081,0.8537±0.0193,1.0225±0.0252,1.2546±0.0327,0.8202±0.0033,0.8039±0.0037,0.7808±0.0038,0.7469±0.0044,0.7019±0.0086,0.7180±0.0071,0.7429±0.0065,0.7843±0.0062,0.1110±0.0017,0.1276±0.0028,0.1505±0.0031,0.1836±0.0040
PartialOrder__Subset__None,0.7109±0.0043,0.6648±0.0056,0.6366±0.0053,0.6046±0.0065,0.7897±0.0032,0.7482±0.0035,0.7124±0.0031,0.6661±0.0048,0.2429±0.0057,0.2082±0.0056,0.1835±0.0046,0.1567±0.0043,0.3166±0.0087,0.2766±0.0078,0.2386±0.0060,0.1921±0.0049,0.7243±0.0081,0.8537±0.0193,1.0225±0.0252,1.2546±0.0327,0.8202±0.0033,0.8039±0.0037,0.7808±0.0038,0.7469±0.0044,0.7019±0.0086,0.7180±0.0071,0.7429±0.0065,0.7843±0.0062,0.1110±0.0017,0.1276±0.0028,0.1505±0.0031,0.1836±0.0040
PreOrder__Hamming__2,0.7109±0.0043,0.6648±0.0056,0.6366±0.0053,0.6046±0.0065,0.7897±0.0032,0.7482±0.0035,0.7124±0.0031,0.6661±0.0048,0.2429±0.0057,0.2082±0.0056,0.1835±0.0046,0.1567±0.0043,0.3166±0.0087,0.2766±0.0078,0.2386±0.0060,0.1921±0.0049,0.7243±0.0081,0.8537±0.0193,1.0225±0.0252,1.2546±0.0327,0.8202±0.0033,0.8039±0.0037,0.7808±0.0038,0.7469±0.0044,0.7019±0.0086,0.7180±0.0071,0.7429±0.0065,0.7843±0.0062,0.1110±0.0017,0.1276±0.0028,0.1505±0.0031,0.1836±0.0040
PreOrder__Hamming__None,0.7109±0.0043,0.6648±0.0056,0.6366±0.0053,0.6046±0.0065,0.7897±0.0032,0.7482±0.0035,0.7124±0.0031,0.6661±0.0048,0.2429±0.0057,0.2082±0.0056,0.1835±0.0046,0.1567±0.0043,0.3166±0.0087,0.2766±0.0078,0.2386±0.0060,0.1921±0.0049,0.7243±0.0081,0.8537±0.0193,1.0225±0.0252,1.2546±0.0327,0.8202±0.0033,0.8039±0.0037,0.7808±0.0038,0.7469±0.0044,0.7019±0.0086,0.7180±0.0071,0.7429±0.0065,0.7843±0.0062,0.1110±0.0017,0.1276±0.0028,0.1505±0.0031,0.1836±0.0040
PreOrder__Subset__2,0.7109±0.0043,0.6648±0.0056,0.6366±0.0053,0.6046±0.0065,0.7897±0.0032,0.7482±0.0035,0.7124±0.0031,0.6661±0.0048,0.2429±0.0057,0.2082±0.0056,0.1835±0.0046,0.1567±0.0043,0.3166±0.0087,0.2766±0.0078,0.2386±0.0060,0.1921±0.0049,0.7243±0.0081,0.8537±0.0193,1.0225±0.0252,1.2546±0.0327,0.8202±0.0033,0.8039±0.0037,0.7808±0.0038,0.7469±0.0044,0.7019±0.0086,0.7180±0.0071,0.7429±0.0065,0.7843±0.0062,0.1110±0.0017,0.1276±0.0028,0.1505±0.0031,0.1836±0.0040
PreOrder__Subset__None,0.7109±0.0043,0.6648±0.0056,0.6366±0.0053,0.6046±0.0065,0.7897±0.0032,0.7482±0.0035,0.7124±0.0031,0.6661±0.0048,0.2429±0.0057,0.2082±0.0056,0.1835±0.0046,0.1567±0.0043,0.3166±0.0087,0.2766±0.0078,0.2386±0.0060,0.1921±0.0049,0.7243±0.0081,0.8537±0.0193,1.0225±0.0252,1.2546±0.0327,0.8202±0.0033,0.8039±0.0037,0.7808±0.0038,0.7469±0.0044,0.7019±0.0086,0.7180±0.0071,0.7429±0.0065,0.7843±0.0062,0.1110±0.0017,0.1276±0.0028,0.1505±0.0031,0.1836±0.0040
br,0.7109±0.0043,0.6641±0.0043,0.6362±0.0061,0.6039±0.0053,0.7897±0.0032,0.7470±0.0033,0.7120±0.0037,0.6663±0.0054,0.2429±0.0057,0.2072±0.0052,0.1826±0.0056,0.1572±0.0047,0.3166±0.0087,0.2759±0.0075,0.2383±0.0079,0.1925±0.0066,0.7243±0.0081,0.8565±0.0178,1.0258±0.0220,1.2498±0.0215,0.8202±0.0033,0.8033±0.0039,0.7802±0.0038,0.7481±0.0034,0.7019±0.0086,0.7192±0.0077,0.7451±0.0074,0.7820±0.0073,0.1110±0.0017,0.1281±0.0027,0.1511±0.0025,0.1827±0.0033
cc,0.7085±0.0012,0.6638±0.0041,0.6364±0.0044,0.6032±0.0050,0.7892±0.0034,0.7469±0.0034,0.7122±0.0034,0.6647±0.0034,0.2422±0.0076,0.2070±0.0056,0.1832±0.0045,0.1574±0.0035,0.3154±0.0106,0.2753±0.0079,0.2381±0.0066,0.1927±0.0050,0.7360±0.0128,0.8572±0.0128,1.0261±0.0280,1.2562±0.0219,0.8182±0.0036,0.8027±0.0033,0.7798±0.0036,0.7474±0.0029,0.7037±0.0074,0.7212±0.0068,0.7447±0.0058,0.7832±0.0061,0.1124±0.0023,0.1283±0.0021,0.1509±0.0028,0.1839±0.0025
clr,0.7034±0.0062,0.6796±0.0045,0.6566±0.0056,0.6228±0.0054,0.7856±0.0039,0.7752±0.0040,0.7517±0.0035,0.7112±0.0045,0.2358±0.0090,0.2318±0.0077,0.2114±0.0065,0.1803±0.0050,0.3005±0.0089,0.3070±0.0088,0.2882±0.0076,0.2456±0.0068,0.6654±0.0110,0.7271±0.0119,0.8325±0.0184,1.0059±0.0263,0.8260±0.0030,0.8201±0.0030,0.8064±0.0025,0.7820±0.0033,0.7001±0.0070,0.7055±0.0064,0.7206±0.0057,0.7495±0.0050,0.1035±0.0016,0.1111±0.0019,0.1250±0.0020,0.1485±0.0030
ecc,0.7161±0.0039,0.6721±0.0042,0.6468±0.0042,0.6203±0.0050,0.7935±0.0035,0.7568±0.0031,0.7285±0.0031,0.6930±0.0041,0.2483±0.0074,0.2161±0.0059,0.1951±0.0048,0.1703±0.0041,0.3247±0.0108,0.2920±0.0086,0.2612±0.0077,0.2177±0.0058,0.6568±0.0132,0.7272±0.0138,0.8430±0.0173,1.0416±0.0257,0.8281±0.0038,0.8197±0.0032,0.8048±0.0032,0.7768±0.0035,0.6979±0.0075,0.7063±0.0073,0.7230±0.0075,0.7560±0.0060,0.1025±0.0024,0.1114±0.0024,0.1262±0.0023,0.1531±0.0030
