Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LGBM,,,,,BinaryVector,hamming_accuracy,0.844013721475752,0.0013530570056883673
LGBM,,,,,BinaryVector,subset0_1,0.3012190720233444,0.006309673681260493
LGBM,,,,,BinaryVector,f1,0.46749390176619193,0.006701618544808272
LGBM,,,,,BinaryVector,jaccard,0.42387234725003153,0.006473150434791353
LGBM,,,,,BinaryVector,macro_f1,0.35695678146256715,0.007046453240178981
LGBM,,,,,BinaryVector,micro_f1,0.4328539663591059,0.00595145841738171
LGBM,,,,,BinaryVector,macro_precision,0.2926332890522486,0.00942140078607945
LGBM,,,,,BinaryVector,micro_precision,0.3502854512686483,0.006180851574094508
LGBM,,,,,BinaryVector,macro_recall,0.46578924167042457,0.007904404879833864
LGBM,,,,,BinaryVector,micro_recall,0.56641621667254,0.0056326603752841565
LGBM,,,,,BinaryVector,example_precision,0.46193233071136097,0.006580612606445553
LGBM,,,,,BinaryVector,example_recall,0.5190051028999397,0.006785902370407508
LGBM,,,,,BinaryVector,mfrd,0.9962476786111824,0.00531558013645828
LGBM,,,,,BinaryVector,afrd,0.40295529620869946,0.006957935992132635
LGBM,,,,,ScoreVector,ranking_loss,0.0858024642189622,0.0013755351284422007
LGBM,,,,,ScoreVector,one_error,0.6683073857809143,0.003419297752124908
LGBM,,,,,ScoreVector,coverage,0.5293010109396367,0.013405749554946294
LGBM,,,,,ScoreVector,lr_ap,0.8495749265566698,0.001574614522627006
LGBM,,,,,ScoreVector,auc_macro,0.7824801404581064,0.006259695405730323
LGBM,,,,,ScoreVector,auc_micro,0.8343228853319081,0.004754609201182957
LGBM,,,,,ScoreVector,auprc_macro,0.3164380017897758,0.008735673673495517
LGBM,,,,,ScoreVector,auprc_micro,0.37895216587475794,0.009167984137667394
