Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.18635122616874636,0.004101498496369032
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.005625879077944911,0.0011376758495784491
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.18638796210712483,0.002708426189893236
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.1198211205580257,0.0021494597304298046
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.1843496565359975,0.0022508098049794354
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.19449944938108044,0.0026892051384315046
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.10671757114876018,0.0016272251788390258
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.10854557600032173,0.0016570137850156071
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.9136302045497169,0.006582866939534212
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.9346834582794287,0.004325495653921584
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.12428169778032835,0.0023846147731870922
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.516780458880722,0.004241136945233812
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.9102599685295758,0.009116451185141823
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.8169239651679645,0.010001237811711399
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.7924279890899973,0.005162290438332339
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.36394841592692595,0.015779125494637575
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.4640879151523739,0.013634681292597322
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.9717349171743749,0.0014286965144429333
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.8638383314993773,0.005765444329383935
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.8185032858590544,0.007769847235867851
