Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8830803984313953,0.0016900516733109187
RF,,,,,BinaryVector,subset0_1,0.4052510194862278,0.005482820183357829
RF,,,,,BinaryVector,f1,0.44469965800565076,0.006211751414235535
RF,,,,,BinaryVector,jaccard,0.43394412243260655,0.005939471573749771
RF,,,,,BinaryVector,macro_f1,0.14652755446122515,0.007550713195817202
RF,,,,,BinaryVector,micro_f1,0.19288750388723358,0.009887579911088242
RF,,,,,BinaryVector,macro_precision,0.27508324560972,0.012355147716106006
RF,,,,,BinaryVector,micro_precision,0.35141865201893807,0.015028949962552997
RF,,,,,BinaryVector,macro_recall,0.10120719630795458,0.005937144257003325
RF,,,,,BinaryVector,micro_recall,0.13300024170808528,0.0078802590494667
RF,,,,,BinaryVector,example_precision,0.45978313119845887,0.006917895881832285
RF,,,,,BinaryVector,example_recall,0.4419920454129222,0.005753624831428495
RF,,,,,BinaryVector,mfrd,0.9813474382484699,0.009621890573356676
RF,,,,,BinaryVector,afrd,0.868171176592585,0.006715986875958676
RF,,,,,ScoreVector,ranking_loss,0.15863324715520608,0.0036089053443630645
RF,,,,,ScoreVector,one_error,0.7474057509401252,0.006493156915993713
RF,,,,,ScoreVector,coverage,1.080871552366185,0.029819016224042108
RF,,,,,ScoreVector,lr_ap,0.7739814533978476,0.004083266678596858
RF,,,,,ScoreVector,auc_macro,0.6472215087272235,0.005660390842033345
RF,,,,,ScoreVector,auc_micro,0.7079481501958012,0.005512871528672928
RF,,,,,ScoreVector,auprc_macro,0.18768390968917115,0.005069254576172536
RF,,,,,ScoreVector,auprc_micro,0.2313030838813811,0.0073770387077355766
