Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.812858567155676,0.011405698148726509
RF,,,,,BinaryVector,subset0_1,0.30991881498362056,0.0466534602278262
RF,,,,,BinaryVector,f1,0.6156352846223233,0.02824740018434118
RF,,,,,BinaryVector,jaccard,0.5403088353985662,0.031018134624616205
RF,,,,,BinaryVector,macro_f1,0.6442656699322122,0.029708387101226228
RF,,,,,BinaryVector,micro_f1,0.6738770288384291,0.026949904179096127
RF,,,,,BinaryVector,macro_precision,0.7385175223365255,0.025372595316102857
RF,,,,,BinaryVector,micro_precision,0.735329264206203,0.025879110841166456
RF,,,,,BinaryVector,macro_recall,0.6022943954885025,0.03690229798907961
RF,,,,,BinaryVector,micro_recall,0.6227734780402409,0.03541131588869712
RF,,,,,BinaryVector,example_precision,0.6690794283815221,0.03423680565667805
RF,,,,,BinaryVector,example_recall,0.6238930826567916,0.02943817044424907
RF,,,,,BinaryVector,mfrd,0.6879102910933077,0.0700863701608643
RF,,,,,BinaryVector,afrd,0.31714777053610477,0.039075419401691604
RF,,,,,ScoreVector,ranking_loss,0.15087118011046227,0.014039930656998314
RF,,,,,ScoreVector,one_error,0.2631420025637373,0.0293198934980605
RF,,,,,ScoreVector,coverage,1.7237971798889047,0.13136105008823148
RF,,,,,ScoreVector,lr_ap,0.8104307395274492,0.013539967796790845
RF,,,,,ScoreVector,auc_macro,0.8432041048196908,0.011251160855501006
RF,,,,,ScoreVector,auc_micro,0.8622099270623536,0.009293808328401158
RF,,,,,ScoreVector,auprc_macro,0.7272209521368798,0.023288022763933484
RF,,,,,ScoreVector,auprc_micro,0.7402973069571032,0.0264325408489547
