Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.7943398376299672,0.012267739625260078
RF,,,,,BinaryVector,subset0_1,0.26616436405070504,0.03879278388710256
RF,,,,,BinaryVector,f1,0.5898396239851871,0.032779593625384754
RF,,,,,BinaryVector,jaccard,0.5092542847647533,0.03160090722487605
RF,,,,,BinaryVector,macro_f1,0.6176291397157686,0.029648568502458783
RF,,,,,BinaryVector,micro_f1,0.6431257693249176,0.027578706774900392
RF,,,,,BinaryVector,macro_precision,0.6940450296565349,0.026494483662845396
RF,,,,,BinaryVector,micro_precision,0.6993321184036825,0.026074696936903036
RF,,,,,BinaryVector,macro_recall,0.5790914583404652,0.042483884168575764
RF,,,,,BinaryVector,micro_recall,0.5972418782818927,0.044164320122861964
RF,,,,,BinaryVector,example_precision,0.6418812609789678,0.027038418274832915
RF,,,,,BinaryVector,example_recall,0.6007577268195413,0.04616764182576879
RF,,,,,BinaryVector,mfrd,0.6232823292608836,0.09744039959084777
RF,,,,,BinaryVector,afrd,0.3138334525088517,0.042484343671381396
RF,,,,,ScoreVector,ranking_loss,0.18115045340169972,0.018266462120514176
RF,,,,,ScoreVector,one_error,0.2823785785500641,0.03437672894446651
RF,,,,,ScoreVector,coverage,1.9123059393248827,0.16690081171206472
RF,,,,,ScoreVector,lr_ap,0.7844649859943977,0.013031636279956575
RF,,,,,ScoreVector,auc_macro,0.8177061708121629,0.01771688961365003
RF,,,,,ScoreVector,auc_micro,0.8351303194438721,0.015705396399029306
RF,,,,,ScoreVector,auprc_macro,0.6848530003250383,0.02370206307422319
RF,,,,,ScoreVector,auprc_micro,0.694427907566465,0.025686010709087867
