Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LGBM,,,,,BinaryVector,hamming_accuracy,0.9460019007879807,0.0010533458074211356
LGBM,,,,,BinaryVector,subset0_1,0.07637743660514058,0.008886438054595396
LGBM,,,,,BinaryVector,f1,0.44563827910153636,0.024149007673248655
LGBM,,,,,BinaryVector,jaccard,0.3445211911744171,0.01989521175717572
LGBM,,,,,BinaryVector,macro_f1,0.11199361952117938,0.012437819760692024
LGBM,,,,,BinaryVector,micro_f1,0.48982922716305344,0.018374397073370373
LGBM,,,,,BinaryVector,macro_precision,0.18308493827163325,0.027592932651914565
LGBM,,,,,BinaryVector,micro_precision,0.6151837286193453,0.015082697447054793
LGBM,,,,,BinaryVector,macro_recall,0.10234844393719059,0.011907659023488745
LGBM,,,,,BinaryVector,micro_recall,0.4070986659155898,0.019729943932052456
LGBM,,,,,BinaryVector,example_precision,0.5524575519357302,0.03291240636281897
LGBM,,,,,BinaryVector,example_recall,0.4153622707147375,0.022257422378993946
LGBM,,,,,BinaryVector,mfrd,1.0,0.0
LGBM,,,,,BinaryVector,afrd,0.8126525147712773,0.03335747740935058
LGBM,,,,,ScoreVector,ranking_loss,0.11118060739987203,0.0030546447505607273
LGBM,,,,,ScoreVector,one_error,0.46943419009832665,0.013720541808606199
LGBM,,,,,ScoreVector,coverage,14.46935311367949,0.2331003107986498
LGBM,,,,,ScoreVector,lr_ap,0.5278234740117038,0.005675631941729641
LGBM,,,,,ScoreVector,auc_macro,,
LGBM,,,,,ScoreVector,auc_micro,0.8797218453479424,0.0027094418269272553
LGBM,,,,,ScoreVector,auprc_macro,0.11679185500287806,0.01013825854543395
LGBM,,,,,ScoreVector,auprc_micro,0.37725317261172164,0.005979027737644181
