Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.882146334636328,0.010105377084816413
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.04442263239606693,0.008909484130874354
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.48402110147092636,0.0060101765053599725
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.3603126239487037,0.006592127553287552
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.1522146715455327,0.0055219827913547135
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.4013723386700945,0.01920842964774089
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.12299389790027446,0.006269938126379291
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.29800232238783103,0.022070286643327094
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.2632273935782435,0.04057481538182197
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.617290217878858,0.008978101431510552
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.45460893354171483,0.007478365918103386
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.6460554368570497,0.00789312376870561
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.9442997411626359,0.015455530968146634
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.6149307986353564,0.05346712978546637
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.9176978173608603,0.0019144145134220053
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.056694143265221965,0.012683341788330324
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.5129167795977216,0.007828693179847588
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,jaccard_pa,0.3868498806307655,0.009062432316657053
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_precision_pa,0.49083587189629485,0.01039805614214852
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_recall_pa,0.6319374915472007,0.011424460423356021
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_precision_pa,0.151262414525483,0.005637661356732363
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_precision_pa,0.4119700559328483,0.007537209730480347
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_recall_pa,0.23196726039245927,0.024794380590366493
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_recall_pa,0.6105807085355596,0.008308131669791061
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_f1_pa,0.1707856490568266,0.006793349158946528
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_f1_pa,0.49193635142741654,0.006456925993225518
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,mfrd_pa,0.9825963666134357,0.005437066271735664
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,afrd_pa,0.6622637802487064,0.04077988220872309
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.9209822061508719,0.0021612080070117588
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.039935047731259825,0.01153163094997834
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.05935000862515095,0.013204831158822424
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.1424022770398482,0.02647297144860453
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,ranking_loss,0.11913732061996585,0.005333506190154224
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,one_error,0.24229670519234087,0.01812900798806486
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,coverage,16.78588304295325,0.6490605688166939
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,lr_ap,0.6445323673763923,0.008879948976245338
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_macro,,
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_micro,0.8589053512190862,0.003670783527945478
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_macro,0.17916844454872513,0.011187890020501533
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_micro,0.44365975327655766,0.009832713658248214
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.871050353355785,0.003240681388202558
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.023267552182163188,0.0070035685518965675
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.8903529997624016,0.01055547594541819
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.06533896843194756,0.009146588966386282
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.4982084083928104,0.0055976010625645965
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,jaccard,0.37885414312484533,0.005607896832987362
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_f1,0.14841276149179117,0.006430929511784885
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_f1,0.40170148888423896,0.021112957313367226
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_precision,0.12663910769027223,0.0068662224184169104
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_precision,0.30979146732228907,0.026473579947903114
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_recall,0.24160789480642886,0.04191879961160449
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_recall,0.5744951681766142,0.009979858632181473
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,example_precision,0.5115167946599756,0.0070458053415277675
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,example_recall,0.6069665200391006,0.010057527149646849
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,mfrd,0.9503589404984953,0.01423732569766885
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,afrd,0.6376679654745858,0.05583929700358873
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,hamming_accuracy_pa,0.9262389106085146,0.0021180259695916296
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,subset0_1_pa,0.08026638644162343,0.013022453388245578
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,f1_pa,0.528257834071528,0.010035529558157955
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,jaccard_pa,0.40703145554388115,0.010383753608914534
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,example_precision_pa,0.5514904192424861,0.010912575974816888
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,example_recall_pa,0.5926627017271248,0.012255131857905876
