Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.9347108035711379,0.0024175264502240795
RF,,,,,BinaryVector,subset0_1,0.07591305847852337,0.013343639803119057
RF,,,,,BinaryVector,f1,0.48982294257452813,0.012189940319330652
RF,,,,,BinaryVector,jaccard,0.3742020125525815,0.011226058637537468
RF,,,,,BinaryVector,macro_f1,0.15710506016082654,0.015074782360245176
RF,,,,,BinaryVector,micro_f1,0.48264791870147733,0.01249321006032693
RF,,,,,BinaryVector,macro_precision,0.17059787569555485,0.013753619633063806
RF,,,,,BinaryVector,micro_precision,0.48798462868974096,0.015978042043298432
RF,,,,,BinaryVector,macro_recall,0.17281975154110774,0.025764939274932046
RF,,,,,BinaryVector,micro_recall,0.4776597161361342,0.01318938569380995
RF,,,,,BinaryVector,example_precision,0.5918141395871841,0.01878877632118678
RF,,,,,BinaryVector,example_recall,0.4990240937430691,0.013070955368349542
RF,,,,,BinaryVector,mfrd,0.9929991485531829,0.003141313998230099
RF,,,,,BinaryVector,afrd,0.7260858517706342,0.0408441724627027
RF,,,,,ScoreVector,ranking_loss,0.11768657574410177,0.005109560732674141
RF,,,,,ScoreVector,one_error,0.24371606003105054,0.02581893304851752
RF,,,,,ScoreVector,coverage,16.66231016042781,0.6862315607789484
RF,,,,,ScoreVector,lr_ap,0.6457370125219677,0.009121068254047748
RF,,,,,ScoreVector,auc_macro,,
RF,,,,,ScoreVector,auc_micro,0.8608541628226195,0.004373577026357763
RF,,,,,ScoreVector,auprc_macro,0.17682213546285042,0.011300884537823557
RF,,,,,ScoreVector,auprc_micro,0.44564743146081937,0.008428511829970863
