Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.8573469006721435,0.021134140511211697
LightGBM,,,,,BinaryVector,subset0_1,0.7127707244212098,0.04081185377125248
LightGBM,,,,,BinaryVector,f1,0.7166293253671894,0.04058556080164333
LightGBM,,,,,BinaryVector,jaccard,0.7156646751306945,0.040581394877666155
LightGBM,,,,,BinaryVector,macro_f1,0.5684341940974673,0.027604451302160674
LightGBM,,,,,BinaryVector,micro_f1,0.7158608058608059,0.04147607255984911
LightGBM,,,,,BinaryVector,macro_precision,0.6212312186321299,0.08586671756324245
LightGBM,,,,,BinaryVector,micro_precision,0.7185586258401793,0.04071547762684647
LightGBM,,,,,BinaryVector,macro_recall,0.5708967199922447,0.025617485897761416
LightGBM,,,,,BinaryVector,micro_recall,0.7132141129310939,0.042461429453781785
LightGBM,,,,,BinaryVector,example_precision,0.7185586258401793,0.04071547762684647
LightGBM,,,,,BinaryVector,example_recall,0.7156646751306945,0.040581394877666155
LightGBM,,,,,BinaryVector,mfrd,0.8587062706270627,0.19927482861364912
LightGBM,,,,,BinaryVector,afrd,0.3905853474471747,0.06647961782486769
LightGBM,,,,,ScoreVector,ranking_loss,0.15017581528503854,0.01931455202790735
LightGBM,,,,,ScoreVector,one_error,0.2814413741598208,0.0407154776268465
LightGBM,,,,,ScoreVector,coverage,0.45873786407766987,0.05936212629732313
LightGBM,,,,,ScoreVector,lr_ap,0.8342295245207867,0.021921073881517344
LightGBM,,,,,ScoreVector,auc_macro,0.8475387582031166,0.022422181716116558
LightGBM,,,,,ScoreVector,auc_micro,0.8821255024356203,0.019338414490782253
LightGBM,,,,,ScoreVector,auprc_macro,0.6371040908964074,0.027336344396067688
LightGBM,,,,,ScoreVector,auprc_micro,0.7341416051520391,0.0437939119404686
