Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.737406646751307,0.01900643600741446
LightGBM,,,,,BinaryVector,subset0_1,0.31207991038088123,0.022488020621791945
LightGBM,,,,,BinaryVector,f1,0.4504057754543191,0.026307660775326727
LightGBM,,,,,BinaryVector,jaccard,0.4141865820263878,0.024245762250160986
LightGBM,,,,,BinaryVector,macro_f1,0.41913880061081593,0.0311952907976089
LightGBM,,,,,BinaryVector,micro_f1,0.5023640394153983,0.028802070622703187
LightGBM,,,,,BinaryVector,macro_precision,0.42036188743656344,0.01134163546810609
LightGBM,,,,,BinaryVector,micro_precision,0.4816558151359355,0.030614244479100106
LightGBM,,,,,BinaryVector,macro_recall,0.4453486916305905,0.06681626014907681
LightGBM,,,,,BinaryVector,micro_recall,0.5259710415370793,0.03587903171578064
LightGBM,,,,,BinaryVector,example_precision,0.4161096589494647,0.02499031992094501
LightGBM,,,,,BinaryVector,example_recall,0.5278566094100074,0.03339967895242118
LightGBM,,,,,BinaryVector,mfrd,0.6598758077488421,0.15798460840568337
LightGBM,,,,,BinaryVector,afrd,0.35711474300717244,0.060543922055333224
LightGBM,,,,,ScoreVector,ranking_loss,0.25246763754045304,0.026792981592698027
LightGBM,,,,,ScoreVector,one_error,0.464395070948469,0.04096110779779036
LightGBM,,,,,ScoreVector,coverage,0.7651232262882749,0.08625890694917535
LightGBM,,,,,ScoreVector,lr_ap,0.7252411625591237,0.024448952457186948
LightGBM,,,,,ScoreVector,auc_macro,0.7234349791289586,0.024145121954247988
LightGBM,,,,,ScoreVector,auc_micro,0.7553431178287592,0.01572091194193895
LightGBM,,,,,ScoreVector,auprc_macro,0.485274333240404,0.023410098664448476
LightGBM,,,,,ScoreVector,auprc_micro,0.5558010791976677,0.04000899649450619
