Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8396601941747573,0.01761053832858033
RF,,,,,BinaryVector,subset0_1,0.49702016430171775,0.06933921836672492
RF,,,,,BinaryVector,f1,0.5077626338063231,0.07043518828096375
RF,,,,,BinaryVector,jaccard,0.5050609907891461,0.0700186576224677
RF,,,,,BinaryVector,macro_f1,0.43221598999372673,0.04420225617923894
RF,,,,,BinaryVector,micro_f1,0.6129608175890796,0.05765635759887955
RF,,,,,BinaryVector,macro_precision,0.584665319814249,0.051071972810023576
RF,,,,,BinaryVector,micro_precision,0.7776188219259218,0.040611330418405055
RF,,,,,BinaryVector,macro_recall,0.3672378841953485,0.05103648952718218
RF,,,,,BinaryVector,micro_recall,0.5092258621881264,0.07044658747025179
RF,,,,,BinaryVector,example_precision,0.5062148369429923,0.07109270603029087
RF,,,,,BinaryVector,example_recall,0.5120761762509335,0.07047293012782438
RF,,,,,BinaryVector,mfrd,0.9976076006640281,0.004257745907881527
RF,,,,,BinaryVector,afrd,0.5806709576192172,0.04975948357100617
RF,,,,,ScoreVector,ranking_loss,0.16995425690814042,0.015057390279462027
RF,,,,,ScoreVector,one_error,0.3121882001493652,0.03279701107161975
RF,,,,,ScoreVector,coverage,0.5175877520537715,0.04572788608891156
RF,,,,,ScoreVector,lr_ap,0.8130181105302465,0.017359491696402815
RF,,,,,ScoreVector,auc_macro,0.7734733422365978,0.03392164965669102
RF,,,,,ScoreVector,auc_micro,0.8588946462895819,0.015363823863535233
RF,,,,,ScoreVector,auprc_macro,0.5534111987452658,0.025746506141653233
RF,,,,,ScoreVector,auprc_micro,0.7253185124957849,0.02937823851428695
