Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.6562098581030621,0.04282253103516484
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.2577072442120986,0.067233816363073
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.5883858600945976,0.0421710065516485
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.49570419467264143,0.04784959144349095
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.46031059440055416,0.034280853864906424
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.5451173340940499,0.037519940362081665
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.3617909839567615,0.03168523882826733
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.4106239831980749,0.03553594797887821
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.6967486128517788,0.07411005801182191
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.8134033450825905,0.04064089635561724
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.496958862335076,0.04821418505363236
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.8150242718446603,0.03996518959076987
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.5680047764583005,0.12639743853677263
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.3184060409691948,0.07528014231562563
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.7657334461127673,0.03663959691325163
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.4749482847417561,0.08242968083838784
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.6527865227858498,0.04017462884136259
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,jaccard_pa,0.6076026751789443,0.04836444270510329
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_precision_pa,0.6093404679170898,0.048246332812336534
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_recall_pa,0.7436354730698821,0.04030536469113456
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_precision_pa,0.4265993225135615,0.05446222338302516
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_precision_pa,0.5555058950401158,0.048825914030317795
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_recall_pa,0.5970622203690076,0.07074984837703102
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_recall_pa,0.7930885842483497,0.043462078036018856
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_f1_pa,0.48708443094658,0.04471483549032586
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_f1_pa,0.6522119640959829,0.04204780466037537
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,mfrd_pa,0.90475449750712,0.16422698537914115
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,afrd_pa,0.4220038122153753,0.08672859507631912
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.8063414861837193,0.03569876097653893
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.17499813293502617,0.0554219497024114
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.4928155339805825,0.08787553671832637
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.43709111277072443,0.10266724715744897
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,ranking_loss,0.2037151481204879,0.03024636172667072
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,one_error,0.3599850634802091,0.052421543605012486
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,coverage,0.6181926811053025,0.09175935774481943
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,lr_ap,0.7807667413492655,0.03155401736290501
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_macro,0.7335005502240018,0.03584410496574899
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_micro,0.8201751384845599,0.02490274627610798
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_macro,0.5169513217586651,0.03131086092532748
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_micro,0.6562695776711968,0.04219772264251088
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.6581404032860344,0.035791861721377854
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.2553995519044063,0.06707352210366604
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.6746191187453323,0.044633981577460846
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.3259297983569828,0.06683083313804696
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.6054795867562855,0.04309310208591331
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,jaccard,0.5262216828478966,0.047803882687992
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_f1,0.4704380873884311,0.03625792117875278
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_f1,0.5553180969043995,0.040385223721882045
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_precision,0.3789837731879244,0.033864916311142704
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_precision,0.42591248636432755,0.039779983380225876
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_recall,0.686316651020789,0.07864773354363787
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_recall,0.8019121570253646,0.05058248627320197
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,example_precision,0.5277010206621857,0.04803306218868842
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,example_recall,0.8034746079163555,0.04988194355176484
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,mfrd,0.5414133366596093,0.1270496848115563
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,afrd,0.2849824950456807,0.07598461940911617
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8027832839820751,0.03135181131432118
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,subset0_1_pa,0.5900179735179977,0.06248994984704049
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,f1_pa,0.6786129935335645,0.03842780804316436
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,jaccard_pa,0.6563295169103789,0.04219226108622921
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,example_precision_pa,0.6583428830305992,0.041589818601256115
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,example_recall_pa,0.7212980456736837,0.03913769904535769
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,macro_precision_pa,0.4758048027471542,0.05271573751872018
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,micro_precision_pa,0.6162532494883021,0.04500743289991288
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,macro_recall_pa,0.575052768892477,0.058800988339048295
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,micro_recall_pa,0.7773003795287132,0.051415807871043
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,macro_f1_pa,0.5101188377895364,0.04559461358878607
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,micro_f1_pa,0.6867888062211631,0.0431768903582619
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,mfrd_pa,0.9317061225513905,0.13734506953500705
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,afrd_pa,0.42488163454449646,0.07853949708704544
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,arec,0.8412229275578791,0.028619328701063648
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,aabs,0.19561333084391336,0.05800731922706922
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,rec,0.6076661687826737,0.06670667401707793
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,abs,0.47445481702763254,0.10228604615666023
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,ranking_loss,0.2037151481204879,0.03024636172667072
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,one_error,0.3599850634802091,0.052421543605012486
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,coverage,0.6181926811053025,0.09175935774481943
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,lr_ap,0.7807667413492655,0.03155401736290501
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,auc_macro,0.7335005502240018,0.03584410496574899
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,auc_micro,0.8201751384845599,0.02490274627610798
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,auprc_macro,0.5169513217586651,0.03131086092532748
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,auprc_micro,0.6562695776711968,0.04219772264251088
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.6734963903410506,0.03207280392150621
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.325160567587752,0.06692558046432255
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,hamming_accuracy,0.6512033233756535,0.043499178255581764
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,subset0_1,0.2492382374906647,0.06339991121420527
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,f1,0.5865680856360465,0.04145118735260371
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,jaccard,0.49172890216579546,0.04590368897329858
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,macro_f1,0.4596552378754613,0.03541693283798737
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,micro_f1,0.5429969285443168,0.03824559222725027
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,macro_precision,0.3591314344459371,0.03121278315471267
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,micro_precision,0.4070216154927817,0.03560965537387995
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,macro_recall,0.7069165716559671,0.07865160188585639
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,micro_recall,0.8183741792798397,0.044953210191097874
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,example_precision,0.49298356982823016,0.04616246472240885
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,example_recall,0.8200392083644512,0.044401714165554725
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,mfrd,0.5632267661396831,0.11747660549133516
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,afrd,0.3197841787578144,0.0673423956247748
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.7674116274091852,0.03870576439783677
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,subset0_1_pa,0.4823204495975414,0.08406517438728693
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,f1_pa,0.6539512558958481,0.04181861503362048
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,jaccard_pa,0.6103163786732747,0.049892372225028285
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,example_precision_pa,0.6118556098369193,0.049819421917596966
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,example_recall_pa,0.7419095003431773,0.04151007933441534
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,macro_precision_pa,0.4274782591059687,0.055514738440253376
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,micro_precision_pa,0.5583293357331754,0.05056316611095562
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,macro_recall_pa,0.6001605303037791,0.07145742128431751
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,micro_recall_pa,0.7966411346951565,0.04709348532785418
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,macro_f1_pa,0.4889100434655458,0.04650031059631638
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,micro_f1_pa,0.6553753550862617,0.044775328418026145
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,mfrd_pa,0.9043214973829137,0.16556001825188016
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,afrd_pa,0.41819131859155406,0.08767833575124569
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,arec,0.8102884615384615,0.03781614122812691
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,aabs,0.18665141896938015,0.0588955391262814
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,rec,0.5024533233756535,0.09068167751543312
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,abs,0.4629014189693801,0.10661709379832243
RF,PreOrder__Subset__None,Subset,,PreOrder,ScoreVector,ranking_loss,0.2037151481204879,0.03024636172667072
RF,PreOrder__Subset__None,Subset,,PreOrder,ScoreVector,one_error,0.3599850634802091,0.052421543605012486
RF,PreOrder__Subset__None,Subset,,PreOrder,ScoreVector,coverage,0.6181926811053025,0.09175935774481943
RF,PreOrder__Subset__None,Subset,,PreOrder,ScoreVector,lr_ap,0.7807667413492655,0.03155401736290501
RF,PreOrder__Subset__None,Subset,,PreOrder,ScoreVector,auc_macro,0.7335005502240018,0.03584410496574899
RF,PreOrder__Subset__None,Subset,,PreOrder,ScoreVector,auc_micro,0.8201751384845599,0.02490274627610798
RF,PreOrder__Subset__None,Subset,,PreOrder,ScoreVector,auprc_macro,0.5169513217586651,0.03131086092532748
RF,PreOrder__Subset__None,Subset,,PreOrder,ScoreVector,auprc_micro,0.6562695776711968,0.04219772264251088
RF,PreOrder__Subset__None,Subset,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.6566691560866319,0.03464749873347297
RF,PreOrder__Subset__None,Subset,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.2469305451829724,0.0636214564414921
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,hamming_accuracy,0.6752968633308438,0.044579921621428896
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,subset0_1,0.32977968633308435,0.06971871616613873
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,f1,0.6062403534976347,0.044185201466139766
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,jaccard,0.5277645008712972,0.04922232633617034
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,macro_f1,0.4714094077317859,0.03626260700245956
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,micro_f1,0.5555872437306217,0.04100589174771951
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,macro_precision,0.38036883620337003,0.03347789113034685
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,micro_precision,0.42644104385058024,0.04026224194535842
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,macro_recall,0.6899289698613686,0.0788048131771104
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,micro_recall,0.8011537770405696,0.05143561880414315
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,example_precision,0.5292765123226288,0.04934751136533565
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,example_recall,0.8025149365197909,0.05105276722671256
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,mfrd,0.5312110732588927,0.12517790488621588
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,afrd,0.27617996630827596,0.07313215542437265
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8046387411905087,0.031317419392034654
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,subset0_1_pa,0.5966679332907685,0.06377460930617992
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,f1_pa,0.6799284853102686,0.0413293622082182
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,jaccard_pa,0.6589784639052156,0.04471287614266223
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,example_precision_pa,0.6607898098234157,0.04401430345955201
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,example_recall_pa,0.7201492943396783,0.04221830553899486
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,macro_precision_pa,0.4783475650134139,0.051356565399515705
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,micro_precision_pa,0.6198608313934583,0.046298570342494766
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,macro_recall_pa,0.5733603990468625,0.06028395811030812
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,micro_recall_pa,0.7761443309872977,0.05289252611198028
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,macro_f1_pa,0.5105936156468102,0.04623500586587511
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,micro_f1_pa,0.6885428776057074,0.04449099867167001
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,mfrd_pa,0.9309270966339094,0.13741482930706655
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,afrd_pa,0.4250185731585034,0.0818670099789598
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,arec,0.8429583644510831,0.02862133488504346
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,aabs,0.1968642643764003,0.05780200535646394
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,rec,0.6142158327109783,0.06754321210762185
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,abs,0.47753920836445113,0.10318526088517424
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,ScoreVector,ranking_loss,0.2037151481204879,0.03024636172667072
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,ScoreVector,one_error,0.3599850634802091,0.052421543605012486
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,ScoreVector,coverage,0.6181926811053025,0.09175935774481943
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,ScoreVector,lr_ap,0.7807667413492655,0.03155401736290501
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,ScoreVector,auc_macro,0.7335005502240018,0.03584410496574899
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,ScoreVector,auc_micro,0.8201751384845599,0.02490274627610798
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,ScoreVector,auprc_macro,0.5169513217586651,0.03131086092532748
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,ScoreVector,auprc_micro,0.6562695776711968,0.04219772264251088
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.6758078167786905,0.033529193681580485
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.3290104555638536,0.06985195309362703
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,hamming_accuracy,0.43272404779686324,0.04946182884399422
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,subset0_1,0.04930171769977596,0.03247824130745496
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,f1,0.48157742096091555,0.031123604198058954
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,jaccard,0.33841299477221803,0.03358831635581897
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,macro_f1,0.4184394825136898,0.018310972078881046
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,micro_f1,0.4585565128254158,0.022849485051225433
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,macro_precision,0.2899250477359351,0.014242118452758383
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,micro_precision,0.3025750838827391,0.019668422579421505
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,macro_recall,0.9336315746572013,0.04285185827326007
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,micro_recall,0.9499141613103878,0.027433087271190724
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,example_precision,0.33895973363206366,0.03411971917140634
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,example_recall,0.950832710978342,0.027634715213899423
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,mfrd,0.8317018383288624,0.06980990495009813
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,afrd,0.6834435162643079,0.07907655291762802
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,hamming_accuracy_pa,0.8283845335820555,0.0468493726585058
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,subset0_1_pa,0.6627493745174233,0.08143002887106986
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,f1_pa,0.7170974885591807,0.06705030388477363
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,jaccard_pa,0.7034329281438122,0.06958201683260293
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,example_precision_pa,0.7051271183417999,0.06973079162866337
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,example_recall_pa,0.7427758801449801,0.06451763775991898
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,macro_precision_pa,0.5330612324040797,0.09417166708191388
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,micro_precision_pa,0.684226625105385,0.06975062049003362
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,macro_recall_pa,0.6545317152180923,0.08756046178959906
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,micro_recall_pa,0.8926538622492457,0.05990064066099561
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,macro_f1_pa,0.5745927871413611,0.07674711452187127
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,micro_f1_pa,0.7733982267646433,0.060722707541799696
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,mfrd_pa,0.6597384259662417,0.269399991236491
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,afrd_pa,0.3087121093336167,0.12203772427747911
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,arec,0.9390795369678865,0.019211073074120826
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,aabs,0.6413489544436146,0.08134307057432916
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,rec,0.8118483943241225,0.0555528867954494
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,abs,0.9190627333831217,0.041469551575207715
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,ScoreVector,ranking_loss,0.2037151481204879,0.03024636172667072
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,ScoreVector,one_error,0.3599850634802091,0.052421543605012486
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,ScoreVector,coverage,0.6181926811053025,0.09175935774481943
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,ScoreVector,lr_ap,0.7807667413492655,0.03155401736290501
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,ScoreVector,auc_macro,0.7335005502240018,0.03584410496574899
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,ScoreVector,auc_micro,0.8201751384845599,0.02490274627610798
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,ScoreVector,auprc_macro,0.5169513217586651,0.03131086092532748
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,ScoreVector,auprc_micro,0.6562695776711968,0.04219772264251088
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PreferenceOrder,hamming_accuracy_PARTIAL_ORDER,0.5753628329599203,0.025559701448633915
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PreferenceOrder,subset0_1_PARTIAL_ORDER,0.04891710231516057,0.03254732867676161
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,hamming_accuracy,0.42214058999253173,0.048324466000768326
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,subset0_1,0.04622479462285287,0.030215072834267342
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,f1,0.4758976848394319,0.03038872818057281
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,jaccard,0.33254636544685084,0.03256236793411269
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,macro_f1,0.4151054624100612,0.016822120670941403
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,micro_f1,0.45401043581251116,0.02198639066611157
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,macro_precision,0.28684534061093525,0.013214069275545828
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,micro_precision,0.2985641761369989,0.018797283881774353
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,macro_recall,0.9334934399253608,0.04102051218202533
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,micro_recall,0.9502914506876772,0.02503473914565607
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,example_precision,0.33306074184714957,0.03309921829718844
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,example_recall,0.951224794622853,0.02531866940630261
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,mfrd,0.8465359561817408,0.06575828732145048
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,afrd,0.6973617561156645,0.07539611111313718
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,PartialAbstention,hamming_accuracy_pa,0.828691936192014,0.04405115553799616
