Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8310969006721435,0.018531157967517448
RF,,,,,BinaryVector,subset0_1,0.48930918595967143,0.07585714327121564
RF,,,,,BinaryVector,f1,0.5191748817525516,0.07895080287605157
RF,,,,,BinaryVector,jaccard,0.5116090988299726,0.07791933682402717
RF,,,,,BinaryVector,macro_f1,0.4376571384269255,0.053791908769893766
RF,,,,,BinaryVector,micro_f1,0.6099412215967768,0.057776283563716786
RF,,,,,BinaryVector,macro_precision,0.5676604783887994,0.06763680640871836
RF,,,,,BinaryVector,micro_precision,0.7269643685927005,0.043247253670606965
RF,,,,,BinaryVector,macro_recall,0.3890813271655421,0.06667110250431345
RF,,,,,BinaryVector,micro_recall,0.5309351026332159,0.0827865526363875
RF,,,,,BinaryVector,example_precision,0.5133454692556634,0.0778187555494358
RF,,,,,BinaryVector,example_recall,0.5330059746079163,0.08177439723925536
RF,,,,,BinaryVector,mfrd,0.9861955934849189,0.03363896304652617
RF,,,,,BinaryVector,afrd,0.5497585669462138,0.060971770905960405
RF,,,,,ScoreVector,ranking_loss,0.17842699775952206,0.026066954109071203
RF,,,,,ScoreVector,one_error,0.3237528005974608,0.04399085192641816
RF,,,,,ScoreVector,coverage,0.5415533980582523,0.08053207834748057
RF,,,,,ScoreVector,lr_ap,0.807382997261638,0.025668710522510328
RF,,,,,ScoreVector,auc_macro,0.7515605764479762,0.041933154081587674
RF,,,,,ScoreVector,auc_micro,0.8395813812768519,0.027864427295327104
RF,,,,,ScoreVector,auprc_macro,0.5498116088156492,0.046891185681939784
RF,,,,,ScoreVector,auprc_micro,0.7024002824990383,0.04873419472880518
