Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.8995728657898378,0.0023281164537882785
LightGBM,,,,,BinaryVector,subset0_1,0.18737385505175244,0.013643097762871375
LightGBM,,,,,BinaryVector,f1,0.3234201828465304,0.018789860831913623
LightGBM,,,,,BinaryVector,jaccard,0.28757623064137816,0.017287841349811203
LightGBM,,,,,BinaryVector,macro_f1,0.17700062547490716,0.008280253568297822
LightGBM,,,,,BinaryVector,micro_f1,0.37230721704711556,0.016107959825894375
LightGBM,,,,,BinaryVector,macro_precision,0.19393149109838992,0.013915156914556932
LightGBM,,,,,BinaryVector,micro_precision,0.3954010636728249,0.011771383636087733
LightGBM,,,,,BinaryVector,macro_recall,0.1675460733057655,0.006624539850598133
LightGBM,,,,,BinaryVector,micro_recall,0.35229575230884624,0.02308777156638926
LightGBM,,,,,BinaryVector,example_precision,0.31804396152525144,0.01936871210373698
LightGBM,,,,,BinaryVector,example_recall,0.3661644168983747,0.020940240472584307
LightGBM,,,,,BinaryVector,mfrd,0.9957551504279347,0.002449966361358646
LightGBM,,,,,BinaryVector,afrd,0.7750485784794211,0.006565014088032962
LightGBM,,,,,ScoreVector,ranking_loss,0.19360284410985748,0.008807966050175522
LightGBM,,,,,ScoreVector,one_error,0.584994640943194,0.014112693182909536
LightGBM,,,,,ScoreVector,coverage,2.911485986195898,0.1473066606422154
LightGBM,,,,,ScoreVector,lr_ap,0.568291192171835,0.01193632335718497
LightGBM,,,,,ScoreVector,auc_macro,0.622762557960088,0.009473926312474387
LightGBM,,,,,ScoreVector,auc_micro,0.8023534757447288,0.010647571605543815
LightGBM,,,,,ScoreVector,auprc_macro,0.18426672905379166,0.007436734424032926
LightGBM,,,,,ScoreVector,auprc_micro,0.3460720961173065,0.01610006873544248
