Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.9151177550101078,0.0019641976236721807
RF,,,,,BinaryVector,subset0_1,0.16322703242876596,0.014211049530111567
RF,,,,,BinaryVector,f1,0.2000036072234218,0.021202768973875706
RF,,,,,BinaryVector,jaccard,0.1906189753759538,0.019336763665126103
RF,,,,,BinaryVector,macro_f1,0.123337986759111,0.022999472140748305
RF,,,,,BinaryVector,micro_f1,0.27331617242039363,0.021649200521127333
RF,,,,,BinaryVector,macro_precision,0.2792886963424978,0.06115625850573236
RF,,,,,BinaryVector,micro_precision,0.4978596228990345,0.017994348850917177
RF,,,,,BinaryVector,macro_recall,0.08792652679408426,0.017893067061061262
RF,,,,,BinaryVector,micro_recall,0.18922814945932184,0.021562892080932722
RF,,,,,BinaryVector,example_precision,0.21200118054584716,0.024374871558539134
RF,,,,,BinaryVector,example_recall,0.19797011700175873,0.020293126178019563
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.8904026942618457,0.02113548522534169
RF,,,,,ScoreVector,ranking_loss,0.19861753388665174,0.004432480436462012
RF,,,,,ScoreVector,one_error,0.7176413936654396,0.0073137522545434165
RF,,,,,ScoreVector,coverage,2.9211581776100157,0.06889171993241498
RF,,,,,ScoreVector,lr_ap,0.4896936990111174,0.006847292599265645
RF,,,,,ScoreVector,auc_macro,0.5812375873859841,0.014672954784400477
RF,,,,,ScoreVector,auc_micro,0.7997750509559778,0.0037953190984589043
RF,,,,,ScoreVector,auprc_macro,0.10237458814985827,0.0018738351878342763
RF,,,,,ScoreVector,auprc_micro,0.2429863619801262,0.004041905688945838
