Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.9606317809174951,0.009264224527537083
LightGBM,,,,,BinaryVector,subset0_1,0.13889063317634748,0.1462308186583872
LightGBM,,,,,BinaryVector,f1,0.5583541651092676,0.07297403104435873
LightGBM,,,,,BinaryVector,jaccard,0.4416651715631308,0.09655186312775105
LightGBM,,,,,BinaryVector,macro_f1,0.35646770876435674,0.029245638207317504
LightGBM,,,,,BinaryVector,micro_f1,0.5434241201484642,0.0682398673091901
LightGBM,,,,,BinaryVector,macro_precision,0.35509020894028986,0.026429914265016882
LightGBM,,,,,BinaryVector,micro_precision,0.41215644139398905,0.08631862062972455
LightGBM,,,,,BinaryVector,macro_recall,0.3993074760084817,0.02987811632283327
LightGBM,,,,,BinaryVector,micro_recall,0.821158657957881,0.019179305462859928
LightGBM,,,,,BinaryVector,example_precision,0.45559060327427686,0.10514629816349234
LightGBM,,,,,BinaryVector,example_recall,0.8326835862550148,0.017621685956331373
LightGBM,,,,,BinaryVector,mfrd,1.0,0.0
LightGBM,,,,,BinaryVector,afrd,0.2789695906090045,0.02768962726521178
LightGBM,,,,,ScoreVector,ranking_loss,0.0706930405020106,0.014042277361596639
LightGBM,,,,,ScoreVector,one_error,0.8243380429094715,0.17898398310036154
LightGBM,,,,,ScoreVector,coverage,3.899832548403977,0.5538787812949164
LightGBM,,,,,ScoreVector,lr_ap,0.48245878769484946,0.11224288067668102
LightGBM,,,,,ScoreVector,auc_macro,,
LightGBM,,,,,ScoreVector,auc_micro,0.927386379745684,0.012065537336356772
LightGBM,,,,,ScoreVector,auprc_macro,0.3957092332690082,0.02565671599634895
LightGBM,,,,,ScoreVector,auprc_micro,0.26327136229238174,0.07393683929214824
