Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.2158±0.0122,0.2444±0.0206,0.2834±0.0087,0.3127±0.0200,0.5254±0.1210,0.3169±0.0171,0.1369±0.0101,0.0722±0.0035,0.9048±0.0173,0.9165±0.0144,0.8879±0.0112,0.8109±0.0384,0.6080±0.0860,0.4162±0.0141,0.2222±0.0121,0.1306±0.0061,0.8985±0.0089,0.8499±0.0051,0.7827±0.0119,0.6866±0.0095,0.5107±0.1144,0.3107±0.0154,0.1347±0.0098,0.0717±0.0036,0.2023±0.0091,0.1565±0.0081,0.1227±0.0059,0.0914±0.0030,0.1416±0.0064,0.1041±0.0057,0.0783±0.0040,0.0565±0.0019,0.4887±0.0512,0.4808±0.0463,0.4550±0.0306,0.4219±0.0268,0.9733±0.0266,0.8899±0.0134,0.8497±0.0250,0.7582±0.0173,0.3275±0.0149,0.2498±0.0098,0.1821±0.0071,0.1240±0.0066,0.2009±0.0115,0.1450±0.0063,0.1017±0.0043,0.0672±0.0036,0.8893±0.0179,0.9024±0.0157,0.8720±0.0109,0.8011±0.0399,0.2607±0.1728,0.0940±0.0189,0.0061±0.0050,0.0000±0.0000
PartialOrder__Hamming__None,0.2151±0.0141,0.2516±0.0136,0.3132±0.0112,0.3561±0.0128,0.4949±0.1322,0.2430±0.0230,0.1053±0.0063,0.0619±0.0017,0.9133±0.0142,0.9261±0.0116,0.9092±0.0158,0.8665±0.0295,0.5866±0.0974,0.3413±0.0190,0.1790±0.0073,0.1142±0.0029,0.8947±0.0115,0.8202±0.0071,0.7269±0.0115,0.6140±0.0065,0.4820±0.1255,0.2387±0.0203,0.1036±0.0053,0.0617±0.0017,0.2028±0.0085,0.1439±0.0068,0.1097±0.0037,0.0849±0.0016,0.1412±0.0061,0.0937±0.0049,0.0682±0.0026,0.0511±0.0008,0.4977±0.0514,0.4956±0.0450,0.4829±0.0260,0.4766±0.0310,0.9733±0.0266,0.8663±0.0107,0.8005±0.0274,0.6842±0.0172,0.3226±0.0198,0.2196±0.0090,0.1536±0.0042,0.1099±0.0029,0.1968±0.0148,0.1248±0.0058,0.0840±0.0025,0.0587±0.0015,0.9000±0.0158,0.9131±0.0137,0.8948±0.0102,0.8616±0.0269,0.2167±0.1761,0.0511±0.0201,0.0031±0.0041,0.0000±0.0000
PartialOrder__Subset__2,0.2189±0.0132,0.2462±0.0246,0.2869±0.0126,0.3070±0.0186,0.5145±0.1414,0.3205±0.0184,0.1358±0.0085,0.0723±0.0036,0.9002±0.0200,0.9140±0.0160,0.8826±0.0100,0.8078±0.0397,0.5974±0.1013,0.4194±0.0151,0.2211±0.0103,0.1306±0.0063,0.8968±0.0113,0.8508±0.0053,0.7836±0.0114,0.6881±0.0096,0.4982±0.1340,0.3141±0.0166,0.1336±0.0082,0.0718±0.0036,0.2019±0.0094,0.1564±0.0086,0.1218±0.0052,0.0918±0.0025,0.1419±0.0065,0.1043±0.0060,0.0778±0.0035,0.0567±0.0016,0.4857±0.0522,0.4758±0.0515,0.4461±0.0274,0.4280±0.0284,0.9733±0.0266,0.8920±0.0140,0.8476±0.0216,0.7510±0.0279,0.3231±0.0192,0.2503±0.0105,0.1818±0.0067,0.1243±0.0065,0.1980±0.0146,0.1454±0.0068,0.1016±0.0041,0.0674±0.0036,0.8836±0.0219,0.8992±0.0177,0.8671±0.0114,0.7994±0.0388,0.2443±0.2029,0.0951±0.0192,0.0051±0.0046,0.0000±0.0000
PartialOrder__Subset__None,0.2155±0.0141,0.2527±0.0148,0.3146±0.0103,0.3565±0.0090,0.4951±0.1319,0.2423±0.0228,0.1046±0.0057,0.0614±0.0017,0.9140±0.0146,0.9250±0.0126,0.9046±0.0173,0.8666±0.0311,0.5868±0.0968,0.3404±0.0191,0.1778±0.0066,0.1133±0.0030,0.8945±0.0113,0.8193±0.0072,0.7252±0.0108,0.6103±0.0061,0.4822±0.1250,0.2381±0.0204,0.1030±0.0048,0.0612±0.0017,0.2029±0.0087,0.1432±0.0074,0.1084±0.0035,0.0845±0.0017,0.1412±0.0062,0.0933±0.0054,0.0673±0.0025,0.0508±0.0010,0.4979±0.0514,0.4911±0.0493,0.4802±0.0290,0.4733±0.0443,0.9733±0.0266,0.8652±0.0099,0.7963±0.0238,0.6832±0.0205,0.3227±0.0188,0.2185±0.0092,0.1521±0.0038,0.1090±0.0028,0.1967±0.0142,0.1241±0.0059,0.0832±0.0023,0.0582±0.0015,0.9016±0.0160,0.9115±0.0153,0.8899±0.0126,0.8616±0.0272,0.2167±0.1761,0.0511±0.0201,0.0031±0.0041,0.0000±0.0000
PreOrder__Hamming__2,0.2175±0.0116,0.2438±0.0233,0.2668±0.0159,0.2967±0.0190,0.5324±0.1248,0.3754±0.0059,0.1989±0.0212,0.0991±0.0089,0.9015±0.0178,0.9044±0.0140,0.8659±0.0183,0.7761±0.0347,0.6117±0.0878,0.4719±0.0055,0.2927±0.0222,0.1690±0.0101,0.8984±0.0088,0.8750±0.0037,0.8361±0.0122,0.7629±0.0055,0.5150±0.1169,0.3654±0.0044,0.1953±0.0207,0.0982±0.0089,0.2023±0.0087,0.1698±0.0079,0.1415±0.0095,0.1045±0.0028,0.1423±0.0060,0.1158±0.0057,0.0937±0.0068,0.0670±0.0018,0.4866±0.0512,0.4608±0.0566,0.4329±0.0239,0.3779±0.0268,0.9733±0.0266,0.9136±0.0139,0.8868±0.0134,0.8230±0.0131,0.3260±0.0147,0.2818±0.0088,0.2235±0.0122,0.1521±0.0071,0.2000±0.0113,0.1676±0.0060,0.1288±0.0080,0.0844±0.0039,0.8844±0.0191,0.8860±0.0169,0.8490±0.0169,0.7683±0.0375,0.2658±0.1763,0.1329±0.0003,0.0286±0.0135,0.0041±0.0060
PreOrder__Hamming__None,0.2168±0.0124,0.2496±0.0159,0.2865±0.0213,0.3649±0.0198,0.5004±0.1331,0.2869±0.0170,0.1326±0.0109,0.0665±0.0047,0.9104±0.0152,0.9163±0.0140,0.8996±0.0238,0.8746±0.0213,0.5903±0.0964,0.3862±0.0137,0.2132±0.0119,0.1206±0.0063,0.8948±0.0112,0.8447±0.0054,0.7613±0.0141,0.6071±0.0135,0.4862±0.1251,0.2802±0.0145,0.1306±0.0104,0.0662±0.0047,0.2030±0.0090,0.1541±0.0076,0.1186±0.0071,0.0846±0.0020,0.1420±0.0063,0.1021±0.0056,0.0748±0.0049,0.0509±0.0015,0.4938±0.0498,0.4720±0.0524,0.4793±0.0250,0.4776±0.0501,0.9733±0.0266,0.8878±0.0166,0.8272±0.0181,0.6632±0.0316,0.3215±0.0182,0.2430±0.0094,0.1708±0.0077,0.1091±0.0037,0.1962±0.0139,0.1405±0.0061,0.0945±0.0046,0.0582±0.0021,0.8950±0.0166,0.8999±0.0158,0.8866±0.0231,0.8689±0.0205,0.2208±0.1782,0.0736±0.0153,0.0112±0.0075,0.0010±0.0020
PreOrder__Subset__2,0.2238±0.0081,0.2412±0.0255,0.2816±0.0233,0.2945±0.0192,0.5196±0.1439,0.4160±0.0081,0.2152±0.0230,0.1053±0.0097,0.8949±0.0206,0.8985±0.0131,0.8528±0.0188,0.7746±0.0398,0.5989±0.1009,0.5046±0.0083,0.3080±0.0225,0.1778±0.0115,0.8963±0.0109,0.8809±0.0036,0.8442±0.0112,0.7765±0.0058,0.5000±0.1335,0.4048±0.0105,0.2109±0.0230,0.1043±0.0096,0.2007±0.0103,0.1728±0.0085,0.1423±0.0099,0.1074±0.0029,0.1416±0.0069,0.1186±0.0062,0.0950±0.0069,0.0694±0.0017,0.4793±0.0509,0.4583±0.0573,0.4099±0.0265,0.3747±0.0287,0.9733±0.0266,0.9156±0.0124,0.8930±0.0150,0.8412±0.0114,0.3199±0.0175,0.2904±0.0091,0.2294±0.0123,0.1593±0.0083,0.1959±0.0135,0.1739±0.0063,0.1330±0.0080,0.0889±0.0047,0.8754±0.0221,0.8803±0.0157,0.8351±0.0202,0.7650±0.0385,0.2454±0.1996,0.1800±0.0190,0.0419±0.0195,0.0041±0.0060
PreOrder__Subset__None,0.2170±0.0124,0.2516±0.0151,0.2906±0.0224,0.3522±0.0177,0.5004±0.1331,0.2874±0.0169,0.1324±0.0112,0.0662±0.0046,0.9104±0.0152,0.9143±0.0114,0.8996±0.0217,0.8623±0.0320,0.5903±0.0964,0.3863±0.0137,0.2131±0.0123,0.1200±0.0062,0.8945±0.0110,0.8444±0.0058,0.7620±0.0137,0.6128±0.0100,0.4862±0.1251,0.2806±0.0141,0.1304±0.0107,0.0659±0.0046,0.2029±0.0091,0.1535±0.0077,0.1186±0.0073,0.0842±0.0020,0.1419±0.0064,0.1018±0.0058,0.0748±0.0050,0.0508±0.0015,0.4938±0.0498,0.4702±0.0516,0.4747±0.0328,0.4627±0.0538,0.9733±0.0266,0.8899±0.0157,0.8282±0.0158,0.6683±0.0339,0.3210±0.0178,0.2422±0.0094,0.1712±0.0079,0.1090±0.0037,0.1958±0.0136,0.1400±0.0062,0.0948±0.0047,0.0582±0.0021,0.8950±0.0166,0.8975±0.0132,0.8867±0.0207,0.8560±0.0282,0.2208±0.1782,0.0746±0.0142,0.0112±0.0075,0.0010±0.0020
br,0.2661±0.0142,0.2499±0.0308,0.3041±0.0130,0.3277±0.0066,0.4694±0.1149,0.1732±0.0116,0.0895±0.0050,0.0610±0.0017,0.8478±0.0085,0.8642±0.0217,0.8151±0.0281,0.7839±0.0096,0.5709±0.0862,0.2732±0.0154,0.1568±0.0081,0.1116±0.0028,0.9612±0.0128,0.8518±0.0094,0.7398±0.0107,0.6496±0.0063,0.4549±0.1104,0.1701±0.0108,0.0883±0.0048,0.0605±0.0017,0.3688±0.0282,0.1715±0.0056,0.1166±0.0052,0.0906±0.0043,0.3619±0.0319,0.1249±0.0059,0.0797±0.0037,0.0586±0.0034,0.4089±0.0377,0.4539±0.0276,0.4143±0.0435,0.4098±0.0221,1.0000±0.0000,0.8836±0.0223,0.7819±0.0160,0.7004±0.0117,0.5572±0.0843,0.2422±0.0148,0.1460±0.0077,0.1089±0.0020,0.4258±0.0989,0.1412±0.0099,0.0803±0.0045,0.0586±0.0012,0.8350±0.0094,0.8530±0.0206,0.8025±0.0285,0.7734±0.0109,0.1566±0.1537,0.0051±0.0046,0.0000±0.0000,0.0000±0.0000
cc,0.2790±0.0277,0.2877±0.0334,0.2904±0.0192,0.2984±0.0142,0.4556±0.1051,0.2024±0.0121,0.1049±0.0072,0.0645±0.0028,0.8327±0.0176,0.8378±0.0143,0.8009±0.0293,0.7556±0.0231,0.5584±0.0730,0.3076±0.0150,0.1798±0.0101,0.1172±0.0048,0.9606±0.0093,0.8833±0.0076,0.7863±0.0029,0.6826±0.0045,0.4417±0.0966,0.1980±0.0103,0.1037±0.0070,0.0640±0.0028,0.3565±0.0292,0.1777±0.0145,0.1281±0.0040,0.0942±0.0036,0.3551±0.0264,0.1313±0.0108,0.0882±0.0025,0.0619±0.0024,0.3993±0.0299,0.3878±0.0315,0.3927±0.0536,0.3957±0.0428,1.0000±0.0000,0.9379±0.0173,0.8292±0.0210,0.7336±0.0125,0.5434±0.0682,0.2828±0.0179,0.1699±0.0059,0.1157±0.0041,0.4122±0.0863,0.1707±0.0126,0.0952±0.0035,0.0627±0.0023,0.8212±0.0192,0.8285±0.0179,0.7898±0.0252,0.7503±0.0159,0.1389±0.1462,0.0143±0.0050,0.0010±0.0020,0.0000±0.0000
