Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.9818981336124193,0.0016226307041815873
RF,,,,,BinaryVector,subset0_1,0.4977760334903192,0.03298799595979016
RF,,,,,BinaryVector,f1,0.6190612575632986,0.03223368676592033
RF,,,,,BinaryVector,jaccard,0.5869217783727988,0.031846773421020144
RF,,,,,BinaryVector,macro_f1,0.23991235821389462,0.0171791770941752
RF,,,,,BinaryVector,micro_f1,0.6573376146951821,0.027745587618043025
RF,,,,,BinaryVector,macro_precision,0.26605142576028895,0.019407604929687645
RF,,,,,BinaryVector,micro_precision,0.6914762478191316,0.03332810527786749
RF,,,,,BinaryVector,macro_recall,0.23779440097796672,0.0209848126429983
RF,,,,,BinaryVector,micro_recall,0.6273571809553249,0.03331645797742269
RF,,,,,BinaryVector,example_precision,0.6378283636620372,0.02921159131198595
RF,,,,,BinaryVector,example_recall,0.6430355834641549,0.035336608398437705
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.4161306799881435,0.033872723698108155
RF,,,,,ScoreVector,ranking_loss,0.04026203353327226,0.009707921830632125
RF,,,,,ScoreVector,one_error,0.1881507064364207,0.023831061178637553
RF,,,,,ScoreVector,coverage,2.535541601255887,0.43422262367309594
RF,,,,,ScoreVector,lr_ap,0.8396164203987102,0.016657062856051837
RF,,,,,ScoreVector,auc_macro,,
RF,,,,,ScoreVector,auc_micro,0.9567319942203089,0.007910574489010303
RF,,,,,ScoreVector,auprc_macro,0.32054521576212996,0.023216715908676175
RF,,,,,ScoreVector,auprc_micro,0.6765633869606609,0.03396731306940696
