Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.7563989069131926,0.01921037117566711
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.011046572475143903,0.005905548914882587
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.2343733195058476,0.016618320169344714
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.14648271828366766,0.013039280066819923
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.1127653067397932,0.007638335978382322
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.16656943496791604,0.012390273358004415
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.07010851127717663,0.005219436792246625
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.09209388609452451,0.007487953537560005
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.46994943065734956,0.032044125432380735
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.8749742453182213,0.02008086990162907
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.14859344484533757,0.013500584853642134
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.8886504447933019,0.01963620590757676
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.8127049830367608,0.037693152951895306
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.2933333243696519,0.027766209594486165
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.852640706082424,0.007708586729205614
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.036342702231710565,0.011877968227494793
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.3179460175522209,0.017277292474607225
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,jaccard_pa,0.21497787487621756,0.015008092807109994
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_precision_pa,0.21889573683968525,0.015559725072051478
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_recall_pa,0.8574927541084463,0.019846395696777177
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_precision_pa,0.10367957951626458,0.007018974083092896
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_precision_pa,0.15501988298160913,0.010055534604406589
