Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.8761023896738183,0.0044867193632741505
LightGBM,,,,,BinaryVector,subset0_1,0.12882783882783885,0.014175170294403863
LightGBM,,,,,BinaryVector,f1,0.22388313274027558,0.021902359471935355
LightGBM,,,,,BinaryVector,jaccard,0.19881606488749343,0.01929120213774693
LightGBM,,,,,BinaryVector,macro_f1,0.1620966072793353,0.02221302377907062
LightGBM,,,,,BinaryVector,micro_f1,0.27581076155780354,0.026378272906890023
LightGBM,,,,,BinaryVector,macro_precision,0.1749918904115258,0.024526584582337106
LightGBM,,,,,BinaryVector,micro_precision,0.29063558214536156,0.027124611398267207
LightGBM,,,,,BinaryVector,macro_recall,0.16170899963977264,0.022457553054530635
LightGBM,,,,,BinaryVector,micro_recall,0.2625726086216224,0.02636543803506691
LightGBM,,,,,BinaryVector,example_precision,0.2085805860805861,0.020791822529263794
LightGBM,,,,,BinaryVector,example_recall,0.26668759811616954,0.03015928531925869
LightGBM,,,,,BinaryVector,mfrd,0.9915469888112938,0.007192898391052006
LightGBM,,,,,BinaryVector,afrd,0.7702785125547987,0.023186828657788004
LightGBM,,,,,ScoreVector,ranking_loss,0.2912590293304579,0.014848164404246026
LightGBM,,,,,ScoreVector,one_error,0.7331397174254317,0.015127485615143727
LightGBM,,,,,ScoreVector,coverage,3.3627263212977496,0.14521554730765882
LightGBM,,,,,ScoreVector,lr_ap,0.4541178285055839,0.009732162228721723
LightGBM,,,,,ScoreVector,auc_macro,0.6303146222964578,0.01738618229514219
LightGBM,,,,,ScoreVector,auc_micro,0.7100056558208907,0.011715498777523032
LightGBM,,,,,ScoreVector,auprc_macro,0.18269763599488179,0.014787364342366455
LightGBM,,,,,ScoreVector,auprc_micro,0.22690458018922083,0.01636348437886521
