Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.8011359672073958,0.008580173102148527
LightGBM,,,,,BinaryVector,subset0_1,0.050104657247514395,0.010422345998443898
LightGBM,,,,,BinaryVector,f1,0.18901988487702764,0.012564056437143634
LightGBM,,,,,BinaryVector,jaccard,0.1476560701203558,0.01077185185241575
LightGBM,,,,,BinaryVector,macro_f1,0.14631350772704516,0.016873688443428753
LightGBM,,,,,BinaryVector,micro_f1,0.20734409960134376,0.014979282362363375
LightGBM,,,,,BinaryVector,macro_precision,0.12257622332788823,0.011782598735475049
LightGBM,,,,,BinaryVector,micro_precision,0.16175997747356477,0.01250157999236019
LightGBM,,,,,BinaryVector,macro_recall,0.2256445377429474,0.022828688387661694
LightGBM,,,,,BinaryVector,micro_recall,0.28911967595231414,0.021165610146294162
LightGBM,,,,,BinaryVector,example_precision,0.15501888191173901,0.009824436176270658
LightGBM,,,,,BinaryVector,example_recall,0.28990580847723707,0.022417601045294375
LightGBM,,,,,BinaryVector,mfrd,0.9064309383739954,0.021370060689537892
LightGBM,,,,,BinaryVector,afrd,0.6219728427447343,0.02552984491071049
LightGBM,,,,,ScoreVector,ranking_loss,0.36242436399579253,0.013321596354617094
LightGBM,,,,,ScoreVector,one_error,0.8046886446886446,0.026209680184784596
LightGBM,,,,,ScoreVector,coverage,4.153244374672946,0.16610494534763878
LightGBM,,,,,ScoreVector,lr_ap,0.38271402520382125,0.01867036076700765
LightGBM,,,,,ScoreVector,auc_macro,0.5837843571975672,0.011554301224579023
LightGBM,,,,,ScoreVector,auc_micro,0.6366253308307547,0.00916736863153902
LightGBM,,,,,ScoreVector,auprc_macro,0.14701653534625075,0.016845559370612963
LightGBM,,,,,ScoreVector,auprc_micro,0.15149558516796524,0.014006489902090394
