Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.9100366300366299,0.0011344441197538224
RF,,,,,BinaryVector,subset0_1,0.008798534798534798,0.008384448416661363
RF,,,,,BinaryVector,f1,0.008935286935286935,0.008351284447760185
RF,,,,,BinaryVector,jaccard,0.008901098901098902,0.008354552806547243
RF,,,,,BinaryVector,macro_f1,0.00580072590886199,0.0050759922109664644
RF,,,,,BinaryVector,micro_f1,0.016244598928388313,0.014905245799659357
RF,,,,,BinaryVector,macro_precision,0.041944444444444444,0.036862623151896014
RF,,,,,BinaryVector,micro_precision,0.4105714285714285,0.34479681485973007
RF,,,,,BinaryVector,macro_recall,0.0031672999479858384,0.0028065650862804745
RF,,,,,BinaryVector,micro_recall,0.008352535892610488,0.007739957062840857
RF,,,,,BinaryVector,example_precision,0.008901098901098902,0.008354552806547243
RF,,,,,BinaryVector,example_recall,0.009003663003663004,0.008354822613891156
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.9957185991927894,0.003351742716489436
RF,,,,,ScoreVector,ranking_loss,0.2518102742055123,0.02209215126041752
RF,,,,,ScoreVector,one_error,0.6862888540031398,0.03631876904564139
RF,,,,,ScoreVector,coverage,2.925920460491889,0.25553005746405344
RF,,,,,ScoreVector,lr_ap,0.5016032784675644,0.029455915880573065
RF,,,,,ScoreVector,auc_macro,0.6182371143091517,0.037963704956456
RF,,,,,ScoreVector,auc_micro,0.7522146947365053,0.021826487273223547
RF,,,,,ScoreVector,auprc_macro,0.1840713239368355,0.022355241483555215
RF,,,,,ScoreVector,auprc_micro,0.2648969082482251,0.03417181934094601
