Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.9005003407493033,0.005870928520919394
LightGBM,,,,,BinaryVector,subset0_1,0.47486822922507566,0.02704857006670116
LightGBM,,,,,BinaryVector,f1,0.512470561848155,0.026566069713349263
LightGBM,,,,,BinaryVector,jaccard,0.5030526536750604,0.026617390757263742
LightGBM,,,,,BinaryVector,macro_f1,0.6355404684787058,0.02392511613110291
LightGBM,,,,,BinaryVector,micro_f1,0.6411120659021835,0.024858248355538775
LightGBM,,,,,BinaryVector,macro_precision,0.8933511035008035,0.023636555897374692
LightGBM,,,,,BinaryVector,micro_precision,0.9033369771445546,0.024667948536564635
LightGBM,,,,,BinaryVector,macro_recall,0.5156553495579003,0.024677058561355398
LightGBM,,,,,BinaryVector,micro_recall,0.49706107253453,0.023811789052461983
LightGBM,,,,,BinaryVector,example_precision,0.5263899552281295,0.027801058875911402
LightGBM,,,,,BinaryVector,example_recall,0.5080383767105758,0.02530076919463161
LightGBM,,,,,BinaryVector,mfrd,0.7835171976336961,0.017086234817379944
LightGBM,,,,,BinaryVector,afrd,0.472735720358392,0.02312442844854609
LightGBM,,,,,ScoreVector,ranking_loss,0.061829564962345054,0.006903763471312006
LightGBM,,,,,ScoreVector,one_error,0.19027786164715627,0.014491653355105591
LightGBM,,,,,ScoreVector,coverage,0.39177284529981626,0.03457492042935516
LightGBM,,,,,ScoreVector,lr_ap,0.8883053545086737,0.00921602411807115
LightGBM,,,,,ScoreVector,auc_macro,0.9428411087601747,0.005509585441050555
LightGBM,,,,,ScoreVector,auc_micro,0.9486255338372791,0.0065852004563177295
LightGBM,,,,,ScoreVector,auprc_macro,0.8522018420615879,0.014424727770188273
LightGBM,,,,,ScoreVector,auprc_micro,0.8561731766870031,0.01642468883634696
