Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LGBM,,,,,BinaryVector,hamming_accuracy,0.9282626386360826,0.005584836765544159
LGBM,,,,,BinaryVector,subset0_1,0.714578894246944,0.02534899185545756
LGBM,,,,,BinaryVector,f1,0.7737078125044935,0.02208857417459685
LGBM,,,,,BinaryVector,jaccard,0.758890968849475,0.022778548377564413
LGBM,,,,,BinaryVector,macro_f1,0.7999938979566561,0.018195897341921088
LGBM,,,,,BinaryVector,micro_f1,0.7925185304940205,0.01744044665771722
LGBM,,,,,BinaryVector,macro_precision,0.829276933499193,0.014283507228963328
LGBM,,,,,BinaryVector,micro_precision,0.821123465781864,0.014752534685191786
LGBM,,,,,BinaryVector,macro_recall,0.7750791502060396,0.022823463854991382
LGBM,,,,,BinaryVector,micro_recall,0.765947388519694,0.021335335981105565
LGBM,,,,,BinaryVector,example_precision,0.7812570629998016,0.021857166927040057
LGBM,,,,,BinaryVector,example_recall,0.7809755494402796,0.021900765134438987
LGBM,,,,,BinaryVector,mfrd,0.31228509739212906,0.0386119190548042
LGBM,,,,,BinaryVector,afrd,0.18808511960707408,0.021088240500139306
LGBM,,,,,ScoreVector,ranking_loss,0.05833265758576962,0.008180238723682204
LGBM,,,,,ScoreVector,one_error,0.1832187437996567,0.018030040662403452
LGBM,,,,,ScoreVector,coverage,0.3730937448779772,0.03961193502183119
LGBM,,,,,ScoreVector,lr_ap,0.8936545434678214,0.011801619515050585
LGBM,,,,,ScoreVector,auc_macro,0.9577600556289964,0.0033508773329144225
LGBM,,,,,ScoreVector,auc_micro,0.9632742183411243,0.004233700912290781
LGBM,,,,,ScoreVector,auprc_macro,0.8769825036856492,0.00946619714734193
LGBM,,,,,ScoreVector,auprc_micro,0.8805534337537975,0.01282829688708399
