Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.7841041168841999,0.005837082407025569
LightGBM,,,,,BinaryVector,subset0_1,0.2334934998835414,0.016228825152436125
LightGBM,,,,,BinaryVector,f1,0.5486271643947986,0.014336386415663496
LightGBM,,,,,BinaryVector,jaccard,0.4618311464991967,0.013283408412881685
LightGBM,,,,,BinaryVector,macro_f1,0.551432314411659,0.013342276755464105
LightGBM,,,,,BinaryVector,micro_f1,0.5481831651845899,0.013769857269135042
LightGBM,,,,,BinaryVector,macro_precision,0.44061372629724477,0.011356707245157303
LightGBM,,,,,BinaryVector,micro_precision,0.4382526923582254,0.01082951875142941
LightGBM,,,,,BinaryVector,macro_recall,0.7402193076008757,0.02246294231759171
LightGBM,,,,,BinaryVector,micro_recall,0.7319014344722878,0.02190380190079321
LightGBM,,,,,BinaryVector,example_precision,0.47258496447293163,0.012096140786682906
LightGBM,,,,,BinaryVector,example_recall,0.7421404807296923,0.020043513153460348
LightGBM,,,,,BinaryVector,mfrd,0.13251050720893648,0.025934678160393434
LightGBM,,,,,BinaryVector,afrd,0.07866462080878545,0.021193902656991274
LightGBM,,,,,ScoreVector,ranking_loss,0.162520627074569,0.014844891247727475
LightGBM,,,,,ScoreVector,one_error,0.3718256398754324,0.029927018331997807
LightGBM,,,,,ScoreVector,coverage,0.907747517706024,0.0734449895140303
LightGBM,,,,,ScoreVector,lr_ap,0.7610758140841123,0.018845657157903897
LightGBM,,,,,ScoreVector,auc_macro,0.8384673140547635,0.01236280481934279
LightGBM,,,,,ScoreVector,auc_micro,0.8388852760982107,0.01126304485954588
LightGBM,,,,,ScoreVector,auprc_macro,0.6170447609155818,0.025008037628225163
LightGBM,,,,,ScoreVector,auprc_micro,0.6117930388607572,0.02477778427715593
