Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.6737596869132139,0.020598074313246617
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.1852138956703272,0.02243348466674672
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.5615462394134592,0.018115713269673366
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.4468942181888241,0.018812891166937185
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.49317790856906313,0.01897663300812045
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.4930981718243792,0.018807198026729362
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.34262880741022755,0.016665224370835244
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.3419263145782109,0.016450323898957196
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.8911733895393017,0.015654010183224466
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.884868846959897,0.01632756337911926
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.4542050218108311,0.019611950660538353
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.8955525745982178,0.016425086989055503
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.36513851878106807,0.04159209104488417
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.2644145273960501,0.022542431510834397
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8231478361897203,0.010797241748555847
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.3928979032063783,0.03537997732285551
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.6825657960172964,0.015068745750198106
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,jaccard_pa,0.6063609748558805,0.01864482443918331
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_precision_pa,0.6170678790655018,0.020597161100506144
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_recall_pa,0.8362094205891131,0.02303543915400008
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_precision_pa,0.5587551587846973,0.022517554940948977
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_precision_pa,0.5424216742462474,0.020123869719843854
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_recall_pa,0.8786568655114771,0.017947092488372316
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_recall_pa,0.8737256002190585,0.018552862318514756
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_f1_pa,0.6791574093420194,0.016570197228833558
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_f1_pa,0.6689801670804636,0.015405652938843379
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,mfrd_pa,0.18007884468467616,0.05718168014486004
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,afrd_pa,0.08598798918591893,0.02123069304326544
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.8585245698938647,0.01088556998955675
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.20041344248813128,0.027856301324782614
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.40731377403576574,0.038455892877854975
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.5545511167087931,0.04801238496530629
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,ranking_loss,0.12098642610053398,0.012592234617641878
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,one_error,0.2844174912224705,0.026151027468617957
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,coverage,0.701110238869575,0.061165749525817485
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,lr_ap,0.8143638512435188,0.01673217319542388
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_macro,0.883354911090288,0.008996608209044623
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_micro,0.8855151949132753,0.01039015894451063
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_macro,0.706625547738438,0.01757788934473146
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_micro,0.7037033919443775,0.020041260985714113
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.7755047546748819,0.008874368700555229
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.17308270287523403,0.022721478192837617
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.6966489246987172,0.024452761933369947
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.2741988078087663,0.02563252345512975
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.5921768741519773,0.022159118788789504
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,jaccard,0.49486533069935573,0.023608959954762823
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_f1,0.5040386967121776,0.022479739808766424
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_f1,0.5044127831971216,0.022677919863433718
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_precision,0.35765587566638685,0.020760513695426475
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_precision,0.3571658348691138,0.021117137191857573
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_recall,0.8684497633555494,0.016822956988548386
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_recall,0.8598747108005006,0.01638447633371906
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,example_precision,0.5069275857408637,0.024723827027277757
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,example_recall,0.8732968717201084,0.01588884157000889
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,mfrd,0.3173633434090888,0.05067588459974493
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,afrd,0.21043005750681126,0.02862373060483958
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8644072450026441,0.01012902998635259
