Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.861819888832337,0.00504372074541792
RF,,,,,BinaryVector,subset0_1,0.2353973827002873,0.028317234071535868
RF,,,,,BinaryVector,f1,0.24787302271949577,0.0290753910290993
RF,,,,,BinaryVector,jaccard,0.2447277801261204,0.028866330973567972
RF,,,,,BinaryVector,macro_f1,0.3671251913988819,0.03544091248325258
RF,,,,,BinaryVector,micro_f1,0.38058375917217674,0.036157400458027615
RF,,,,,BinaryVector,macro_precision,0.9123178009712215,0.06556196654823696
RF,,,,,BinaryVector,micro_precision,0.9600130811639245,0.01787621457574175
RF,,,,,BinaryVector,macro_recall,0.2532514389556686,0.0302297242809333
RF,,,,,BinaryVector,micro_recall,0.23800996960409557,0.028150555102123085
RF,,,,,BinaryVector,example_precision,0.25355009589864363,0.02950197236419675
RF,,,,,BinaryVector,example_recall,0.2454243550924049,0.028893669372893692
RF,,,,,BinaryVector,mfrd,0.9712786116912692,0.020983096298324903
RF,,,,,BinaryVector,afrd,0.7445636562654873,0.030558536011727287
RF,,,,,ScoreVector,ranking_loss,0.08295114345114346,0.009041832798273588
RF,,,,,ScoreVector,one_error,0.22492093753504544,0.02144285630381168
RF,,,,,ScoreVector,coverage,0.5055116846818092,0.044819675515352396
RF,,,,,ScoreVector,lr_ap,0.8621448376240906,0.013547303833751643
RF,,,,,ScoreVector,auc_macro,0.9261918533821629,0.006542839174902859
RF,,,,,ScoreVector,auc_micro,0.9307179720663075,0.0067446246637960314
RF,,,,,ScoreVector,auprc_macro,0.7981231873944726,0.01846632937911604
RF,,,,,ScoreVector,auprc_micro,0.8010185584880796,0.020618106659310118
