Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.5968447541618274,0.041119047053603176
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.11024390243902438,0.03957825527439387
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.4450466235274597,0.0360090727521039
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.3436697638404955,0.03438434897385772
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.33526556079339026,0.04343190511120783
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.42051864363274555,0.03248604363178585
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.2535171992504488,0.033439088429349895
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.2978057238113466,0.02657760861409114
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.6050167778371103,0.11020748792785635
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.7197158930857305,0.061021350030011426
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.36331707317073175,0.03721079657178945
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.723124274099884,0.062317899788995365
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.7122076095828743,0.11209323706693838
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.4248493692872392,0.05495625348533768
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.7695021857932157,0.026106590997162827
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.3046107729137254,0.0682118328974636
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.5258621194089744,0.05451857252667488
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,jaccard_pa,0.47001054559334404,0.04844282264420424
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_precision_pa,0.5065742082417307,0.05842126621795042
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_recall_pa,0.6018843472116899,0.07194732911540906
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_precision_pa,0.3268394900567532,0.12263597491853936
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_precision_pa,0.49491257813830924,0.04863777380778628
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_recall_pa,0.4058607528074145,0.12557503198661726
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_recall_pa,0.6553148814014323,0.06505270696071305
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_f1_pa,0.3423606805872355,0.10851352181607142
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_f1_pa,0.5627593038844659,0.04848345234506889
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,mfrd_pa,0.989652352755801,0.023756944940881538
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,afrd_pa,0.5774204888738308,0.08967152204360575
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.8325280681378241,0.02482129470178838
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.27369725125822686,0.06275958156629037
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.34692218350754933,0.07089353261577885
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.6356794425087109,0.09517020894298886
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,ranking_loss,0.21255594270228417,0.03740105521136349
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,one_error,0.4661324041811847,0.08020780461260527
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,coverage,1.3030429732868756,0.1979474152813335
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,lr_ap,0.6954039876113046,0.04333360922854341
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_macro,,
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_micro,0.8034414785164763,0.03243731166354078
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_macro,0.4465001305333167,0.12223703080758407
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_micro,0.5180829217825452,0.06414137349869317
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.6485745257452576,0.031227268991329497
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.08020905923344948,0.029571973203901838
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.5886682152535812,0.04873793933687004
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.1305691056910569,0.05192863363996247
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.43412587799347385,0.05170656322346694
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,jaccard,0.3403708865660085,0.04991935120700301
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_f1,0.3296721710236997,0.046170299075532086
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_f1,0.40290559502051737,0.0435030202512041
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_precision,0.2516103259832118,0.0368951284236862
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_precision,0.2868313817981147,0.034690583107592834
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_recall,0.5939743146940952,0.11002082981945274
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_recall,0.6822292021009168,0.07653360985715159
