Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8191986062717769,0.019325961410168405
RF,,,,,BinaryVector,subset0_1,0.21960511033681765,0.07529334286855838
RF,,,,,BinaryVector,f1,0.28969802555168406,0.08843664200200772
RF,,,,,BinaryVector,jaccard,0.27176926054974837,0.08343777241458243
RF,,,,,BinaryVector,macro_f1,0.23471395283405458,0.09286407651702236
RF,,,,,BinaryVector,micro_f1,0.3750360596785844,0.09542416510838664
RF,,,,,BinaryVector,macro_precision,0.2900496932261638,0.08280520355651413
RF,,,,,BinaryVector,micro_precision,0.6215407892219954,0.08630292823945021
RF,,,,,BinaryVector,macro_recall,0.21204958523924738,0.098098122439268
RF,,,,,BinaryVector,micro_recall,0.27509067602309156,0.08651019350118244
RF,,,,,BinaryVector,example_precision,0.30923732094463796,0.09364530189585066
RF,,,,,BinaryVector,example_recall,0.2897096399535424,0.0915234130220512
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.6659840876806397,0.056310807262821755
RF,,,,,ScoreVector,ranking_loss,0.20261672473867598,0.03655854950794515
RF,,,,,ScoreVector,one_error,0.4583507549361208,0.08363845527210102
RF,,,,,ScoreVector,coverage,1.251335656213705,0.19104254206055468
RF,,,,,ScoreVector,lr_ap,0.7082245451025938,0.04474859532846094
RF,,,,,ScoreVector,auc_macro,,
RF,,,,,ScoreVector,auc_micro,0.8107838507748808,0.03376663398825086
RF,,,,,ScoreVector,auprc_macro,0.4671140474010922,0.13245982320761507
RF,,,,,ScoreVector,auprc_micro,0.5497333832148803,0.0565434409877257
