Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.6064016172506739,0.009763683559042502
LightGBM,,,,,BinaryVector,subset0_1,0.0009433962264150943,0.0018867924528301885
LightGBM,,,,,BinaryVector,f1,0.47189442445612506,0.017642366577246087
LightGBM,,,,,BinaryVector,jaccard,0.3343649144356692,0.013795369601860463
LightGBM,,,,,BinaryVector,macro_f1,0.48660330489857956,0.017787654510248174
LightGBM,,,,,BinaryVector,micro_f1,0.507584632725737,0.01780249704423214
LightGBM,,,,,BinaryVector,macro_precision,0.44908280164046166,0.02122802218770088
LightGBM,,,,,BinaryVector,micro_precision,0.4644760878107287,0.02351654454833703
LightGBM,,,,,BinaryVector,macro_recall,0.5455104948027516,0.020689321322810553
LightGBM,,,,,BinaryVector,micro_recall,0.5604127215752038,0.020546898623828806
LightGBM,,,,,BinaryVector,example_precision,0.4552639996272073,0.0223323296407732
LightGBM,,,,,BinaryVector,example_recall,0.5484927441531214,0.017968680436959313
LightGBM,,,,,BinaryVector,mfrd,0.2962640024613558,0.05261756611524284
LightGBM,,,,,BinaryVector,afrd,0.11536061838661094,0.011770058126388606
LightGBM,,,,,ScoreVector,ranking_loss,0.3741024012300967,0.010433791264386998
LightGBM,,,,,ScoreVector,one_error,0.45283018867924535,0.021718612138153463
LightGBM,,,,,ScoreVector,coverage,10.10377358490566,0.20107843810276377
LightGBM,,,,,ScoreVector,lr_ap,0.5808971514258412,0.012300847716695505
LightGBM,,,,,ScoreVector,auc_macro,0.6217276993664063,0.013255691385822192
LightGBM,,,,,ScoreVector,auc_micro,0.6347931254783372,0.012763619866147567
LightGBM,,,,,ScoreVector,auprc_macro,0.4768083999415721,0.017358938105170845
LightGBM,,,,,ScoreVector,auprc_micro,0.48510692410109935,0.019027164257804107
