Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.6522911051212938,0.007590963620829606
LightGBM,,,,,BinaryVector,subset0_1,0.007547169811320756,0.0037735849056603774
LightGBM,,,,,BinaryVector,f1,0.485625846713016,0.022969581706498234
LightGBM,,,,,BinaryVector,jaccard,0.346684484278824,0.020475503838716883
LightGBM,,,,,BinaryVector,macro_f1,0.48072000893878536,0.02274592302257012
LightGBM,,,,,BinaryVector,micro_f1,0.5190939239708675,0.01740258754256343
LightGBM,,,,,BinaryVector,macro_precision,0.4837660056555487,0.026102883957030795
LightGBM,,,,,BinaryVector,micro_precision,0.5201465916312729,0.020959214959553354
LightGBM,,,,,BinaryVector,macro_recall,0.4833461268095031,0.023307122826397325
LightGBM,,,,,BinaryVector,micro_recall,0.5185400106476539,0.020479443211622653
LightGBM,,,,,BinaryVector,example_precision,0.5191856571101855,0.023961977915553438
LightGBM,,,,,BinaryVector,example_recall,0.5178008862206976,0.030218209691108777
LightGBM,,,,,BinaryVector,mfrd,0.5490955944952753,0.04232036548326351
LightGBM,,,,,BinaryVector,afrd,0.2608069956792172,0.020880730590566502
LightGBM,,,,,ScoreVector,ranking_loss,0.32166307075673656,0.007981906642930196
LightGBM,,,,,ScoreVector,one_error,0.3707547169811321,0.03768864972724186
LightGBM,,,,,ScoreVector,coverage,9.52924528301887,0.1676327760224998
LightGBM,,,,,ScoreVector,lr_ap,0.6279246625743498,0.015345750939873502
LightGBM,,,,,ScoreVector,auc_macro,0.6297325148314707,0.013569663551082557
LightGBM,,,,,ScoreVector,auc_micro,0.6603148653758797,0.010512223189133228
LightGBM,,,,,ScoreVector,auprc_macro,0.4878169324047019,0.02431557310927291
LightGBM,,,,,ScoreVector,auprc_micro,0.519448621721004,0.02436291789431524
