Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.5883692722371968,0.009036445927643959
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.0007547169811320754,0.001729273847153147
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.5357946314169352,0.014285517873820396
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.3872933371659788,0.013005769655878623
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.5340228454210113,0.014284405461070826
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.562930840326818,0.012712316414968932
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.4365235207919521,0.016628500313118615
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.45754422564803376,0.015993522341092123
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.6997695486884469,0.013260806415772734
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.7320635078355784,0.012809765347141523
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.45257029657973064,0.017320720773323733
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.7315451958942524,0.015831774415443093
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.5805275106270466,0.060737199380547016
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.2498109581805762,0.02526301058270971
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.5901505046507389,0.009223794329176707
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.0007547169811320754,0.001729273847153147
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.536194187032961,0.014394269561482943
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,jaccard_pa,0.3877472721199138,0.013117074174161794
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_precision_pa,0.45365872806438845,0.01735543997563039
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_recall_pa,0.729875085082632,0.01619809668837647
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_precision_pa,0.4382025970398123,0.01694942447407474
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_precision_pa,0.45951772645072786,0.016125999366890634
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_recall_pa,0.6986816324644497,0.013371105660734937
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_recall_pa,0.7312509893212105,0.012868459060282052
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_f1_pa,0.5350019761517774,0.0145347849735605
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_f1_pa,0.5641813542931698,0.01282312922310654
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,mfrd_pa,0.5788657331711599,0.06168367663081296
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,afrd_pa,0.2483769310936008,0.025541945112186857
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.5921428571428572,0.009275782090502487
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.004865229110512129,0.0015748023129550767
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.0007547169811320754,0.001729273847153147
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.053396226415094346,0.01453687568623262
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,ranking_loss,0.330922099875267,0.011956974864094926
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,one_error,0.37245283018867925,0.03017334516219519
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,coverage,9.68754716981132,0.1425701129095843
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,lr_ap,0.6219637144877578,0.015222064002438975
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_macro,0.6484288558445305,0.008742060750843604
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_micro,0.6786390288500845,0.007979890116201285
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_macro,0.5004641177409954,0.017211752751148123
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_micro,0.5370011146677889,0.017856862134561696
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.4271221231598591,0.00782655650740824
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.0,0.0
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.646576819407008,0.008305911440875537
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.0018867924528301885,0.003268020391639391
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.4940922673039328,0.010636247437740306
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,jaccard,0.3505340660387832,0.009596758213312757
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_f1,0.47087059365035216,0.011055285723805434
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_f1,0.5146340566141164,0.010319155799693547
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_precision,0.473765335926409,0.01672306401432796
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_precision,0.512229434345954,0.015331310880945533
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_recall,0.4761040469969322,0.013066392745149345
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_recall,0.5174237339228726,0.012666575479949602
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,example_precision,0.5135234351602276,0.015224328437876382
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,example_recall,0.5288137030684201,0.013988000106338985
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,mfrd,0.6040599635063526,0.06997521716722477
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,afrd,0.2882881961370534,0.031147385171142423
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,hamming_accuracy_pa,0.6479757107311426,0.008341965222711722
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,subset0_1_pa,0.0018867924528301885,0.003268020391639391
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,f1_pa,0.49441244398260004,0.010869794769449624
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,jaccard_pa,0.3508944828756151,0.009763103269565494
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,example_precision_pa,0.5147323300389338,0.01540752975952044
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,example_recall_pa,0.52744181028615,0.014166635956654296
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,macro_precision_pa,0.4763457648614527,0.016923618687481993
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,micro_precision_pa,0.5149387797845226,0.01536158177264539
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,macro_recall_pa,0.4752222707023897,0.013024647149524669
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,micro_recall_pa,0.5166627418485369,0.012692233774935927
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,macro_f1_pa,0.4716233235969646,0.010990930594008666
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,micro_f1_pa,0.5156228318492144,0.01038412471753957
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,mfrd_pa,0.6077767302695404,0.06897067838765417
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,afrd_pa,0.2907055197206935,0.03090830150446678
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,arec,0.6490431266846362,0.008337777287091857
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,aabs,0.003032345013477089,0.0017623580634261483
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,rec,0.0018867924528301885,0.003268020391639391
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,abs,0.031509433962264154,0.013255975902075695
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,ranking_loss,0.330922099875267,0.011956974864094926
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,one_error,0.37245283018867925,0.03017334516219519
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,coverage,9.68754716981132,0.1425701129095843
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,lr_ap,0.6219637144877578,0.015222064002438975
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,auc_macro,0.6484288558445305,0.008742060750843604
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,auc_micro,0.6786390288500845,0.007979890116201285
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,auprc_macro,0.5004641177409954,0.017211752751148123
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,auprc_micro,0.5370011146677889,0.017856862134561696
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.43355173128758034,0.010536912649914054
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.0,0.0
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,hamming_accuracy,0.5884097035040431,0.009777625710310113
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,subset0_1,0.0005660377358490566,0.0015328374348369737
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,f1,0.5356290778610349,0.014837953407651379
