Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LGBM,,,,,BinaryVector,hamming_accuracy,0.7696110495941101,0.008833088930262065
LGBM,,,,,BinaryVector,subset0_1,0.11088582037198638,0.018524552854699214
LGBM,,,,,BinaryVector,f1,0.6079231507004442,0.010906934136348148
LGBM,,,,,BinaryVector,jaccard,0.4914865752755878,0.011787682611835245
LGBM,,,,,BinaryVector,macro_f1,0.45121438566827143,0.014316422792606651
LGBM,,,,,BinaryVector,micro_f1,0.6284967453623814,0.011291352849950533
LGBM,,,,,BinaryVector,macro_precision,0.449781940343132,0.02076582743329992
LGBM,,,,,BinaryVector,micro_precision,0.6141999857961522,0.018810295857298893
LGBM,,,,,BinaryVector,macro_recall,0.45914584724342145,0.01226924473644399
LGBM,,,,,BinaryVector,micro_recall,0.6437825459421553,0.00808146998214049
LGBM,,,,,BinaryVector,example_precision,0.627565177126866,0.017114692454010556
LGBM,,,,,BinaryVector,example_recall,0.648411745380651,0.0067784822833535895
LGBM,,,,,BinaryVector,mfrd,0.979013974059856,0.0063611747152476725
LGBM,,,,,BinaryVector,afrd,0.49653588733573173,0.01031291328436419
LGBM,,,,,ScoreVector,ranking_loss,0.19458162900147583,0.004815503798472628
LGBM,,,,,ScoreVector,one_error,0.2548637133617371,0.015145257491875713
LGBM,,,,,ScoreVector,coverage,6.920511438495628,0.130973955475709
LGBM,,,,,ScoreVector,lr_ap,0.736196823874581,0.008635357655110292
LGBM,,,,,ScoreVector,auc_macro,0.669996377416447,0.015782828467817214
LGBM,,,,,ScoreVector,auc_micro,0.8119629008648268,0.007986026921769111
LGBM,,,,,ScoreVector,auprc_macro,0.4782129493959201,0.016005906547592912
LGBM,,,,,ScoreVector,auprc_micro,0.6747392586658945,0.014709655082849873
