Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.8046312524291066,0.004925901541446712
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.21307342196670262,0.019099893467081488
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.665866517016228,0.005434380960829288
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.56316284556339,0.005347938895526997
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.42582220988595487,0.010309158052054644
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.6804667298990705,0.006096952203250882
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.5854119267194104,0.0331573690110189
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.6738497259742628,0.008620564109622413
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.437045808236424,0.009761632060587675
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.6874274903683141,0.011841218670824891
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.677064198897909,0.007768544652354978
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.6982637792773952,0.012231799932192717
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,1.0,0.0
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.6900807818871045,0.015594020839920812
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8047997512707883,0.0049620642628032926
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.2139007237821467,0.020000634584146037
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.6660055379697606,0.005440222118699071
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,jaccard_pa,0.5633546862634181,0.0055576047505345415
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_precision_pa,0.6773983197303357,0.007850570199847749
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_recall_pa,0.6981971236376172,0.012277831928795889
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_precision_pa,0.5851377670587192,0.03306559094930492
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_precision_pa,0.6741849415350667,0.008568536525668257
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_recall_pa,0.43639172075289856,0.009793285263376538
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_recall_pa,0.6871834427778193,0.011846998437512942
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_f1_pa,0.4250863454239009,0.010330332932260836
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_f1_pa,0.6805180260587897,0.006069695005720161
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,mfrd_pa,1.0,0.0
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,afrd_pa,0.6909749981524536,0.015730924633293904
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.8048973236437945,0.004979817872826105
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.0005025653811650424,0.00033193656741482716
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.2139007237821467,0.020000634584146037
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.007035915336310593,0.004647111943807581
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,ranking_loss,0.16355112075377515,0.003607497594951217
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,one_error,0.2271375528292524,0.015979062879116743
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,coverage,6.238279178002497,0.053664917222140715
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,lr_ap,0.7651784770626351,0.005433681885167547
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_macro,0.7098346836220527,0.01082015632851699
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_micro,0.8498519291380382,0.0041064776610653985
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_macro,0.5190641439533601,0.01193010591417347
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_micro,0.7250891188010846,0.006848162296734449
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.669244316759845,0.005913624519893549
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.1435706585904214,0.01447069328630316
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.8127585852882295,0.00396775203670426
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.1998417261263111,0.015829426554189834
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.6319698119098823,0.007223768521854928
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,jaccard,0.5294805407454272,0.007012917115179982
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_f1,0.3789022341315746,0.008466003493014015
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_f1,0.6571459210707818,0.006969434034711148
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_precision,0.6445469643658472,0.06277395546871407
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_precision,0.7370533084341446,0.00782472676423828
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_recall,0.35157955330691265,0.007806779830283156
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_recall,0.5930853180826613,0.012862076247111663
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,example_precision,0.7327430125242096,0.008313163792315352
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,example_recall,0.6004324688077447,0.012485770347857103
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,mfrd,1.0,0.0
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,afrd,0.7452716327692712,0.011556866515474495
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8128068289929576,0.004000703962359325
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,subset0_1_pa,0.1998417261263111,0.015829426554189834
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,f1_pa,0.6319996578403494,0.0072512043034431055
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,jaccard_pa,0.5295019019469127,0.007029038564956616
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,example_precision_pa,0.732915545305438,0.008406229200586498
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,example_recall_pa,0.6004324688077447,0.012485770347857103
