Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8071268586485978,0.00595405520085592
RF,,,,,BinaryVector,subset0_1,0.1877626063001557,0.017569642236565295
RF,,,,,BinaryVector,f1,0.6056141655419419,0.0116753508375874
RF,,,,,BinaryVector,jaccard,0.5034494244450615,0.01303223441173557
RF,,,,,BinaryVector,macro_f1,0.36120850284923245,0.01331785368783102
RF,,,,,BinaryVector,micro_f1,0.6374991338271818,0.011860172425962946
RF,,,,,BinaryVector,macro_precision,0.6177943027920481,0.05754341765016381
RF,,,,,BinaryVector,micro_precision,0.7392539666514137,0.008571368809000326
RF,,,,,BinaryVector,macro_recall,0.3276915142456094,0.01361407536188528
RF,,,,,BinaryVector,micro_recall,0.5606782552117172,0.018276257936767886
RF,,,,,BinaryVector,example_precision,0.7324246329825099,0.00997576672639806
RF,,,,,BinaryVector,example_recall,0.5661675587434276,0.017995250757515437
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.7695987033028172,0.01623931562129263
RF,,,,,ScoreVector,ranking_loss,0.17601955905349506,0.003870217406835626
RF,,,,,ScoreVector,one_error,0.24336088154269978,0.012507685382108474
RF,,,,,ScoreVector,coverage,6.502045240661841,0.10579634936414346
RF,,,,,ScoreVector,lr_ap,0.7539488717517048,0.0048484419579440255
RF,,,,,ScoreVector,auc_macro,0.6845524494203729,0.012355387481529444
RF,,,,,ScoreVector,auc_micro,0.8372771944853835,0.004921751415828289
RF,,,,,ScoreVector,auprc_macro,0.4955733912209318,0.008620428568468265
RF,,,,,ScoreVector,auprc_micro,0.7031715102579027,0.008712735444340139
