Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.7930594156455253,0.0050238492399895425
RF,,,,,BinaryVector,subset0_1,0.0925190356415653,0.013470146107047994
RF,,,,,BinaryVector,f1,0.5383843848584879,0.011480555445379723
RF,,,,,BinaryVector,jaccard,0.42672851416578667,0.01141622032372673
RF,,,,,BinaryVector,macro_f1,0.2738247720865195,0.010263990801616543
RF,,,,,BinaryVector,micro_f1,0.5728011513901187,0.01145473816697363
RF,,,,,BinaryVector,macro_precision,0.5783366338333625,0.06439528485504556
RF,,,,,BinaryVector,micro_precision,0.7631621251701953,0.008924599391137643
RF,,,,,BinaryVector,macro_recall,0.23934620355307054,0.008374913569217053
RF,,,,,BinaryVector,micro_recall,0.4586241984637362,0.014095995839234815
RF,,,,,BinaryVector,example_precision,0.7468020778080069,0.00882775114951837
RF,,,,,BinaryVector,example_recall,0.45637524131194923,0.01443488150526624
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.8683536201926116,0.012331082398222594
RF,,,,,ScoreVector,ranking_loss,0.16855813231552688,0.004130385003888516
RF,,,,,ScoreVector,one_error,0.24344301285012748,0.009741406485690893
RF,,,,,ScoreVector,coverage,6.38117584655134,0.10512349481745838
RF,,,,,ScoreVector,lr_ap,0.7561099897398633,0.004327267910681677
RF,,,,,ScoreVector,auc_macro,0.6749398770642888,0.011532708904790774
RF,,,,,ScoreVector,auc_micro,0.8367614768998886,0.005321922771804713
RF,,,,,ScoreVector,auprc_macro,0.4892739850245594,0.008346545434433103
RF,,,,,ScoreVector,auprc_micro,0.7047463594443093,0.007625673167979944
