Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.7917690496967742,0.004074614526552104
RF,,,,,BinaryVector,subset0_1,0.11411186968499223,0.014539865264009064
RF,,,,,BinaryVector,f1,0.594513078881092,0.009585627752381636
RF,,,,,BinaryVector,jaccard,0.4805412040515346,0.010829258758844378
RF,,,,,BinaryVector,macro_f1,0.3541832452533018,0.011805917521783041
RF,,,,,BinaryVector,micro_f1,0.6200188957033204,0.009366954189308448
RF,,,,,BinaryVector,macro_precision,0.49606804832458046,0.037458332068595834
RF,,,,,BinaryVector,micro_precision,0.6925093811197134,0.011281650237961911
RF,,,,,BinaryVector,macro_recall,0.33152349387375923,0.013285228738336402
RF,,,,,BinaryVector,micro_recall,0.5616567344998209,0.01667044231097691
RF,,,,,BinaryVector,example_precision,0.6930994895582703,0.010527288942912567
RF,,,,,BinaryVector,example_recall,0.5663143979855906,0.016765422153335204
RF,,,,,BinaryVector,mfrd,0.9985599620498055,0.001758773686052312
RF,,,,,BinaryVector,afrd,0.7308001754870204,0.02126942628412858
RF,,,,,ScoreVector,ranking_loss,0.18548368281532465,0.004913211737936244
RF,,,,,ScoreVector,one_error,0.2422019745735161,0.012972811944492528
RF,,,,,ScoreVector,coverage,6.82210615471485,0.13705574601332737
RF,,,,,ScoreVector,lr_ap,0.7426793908473448,0.006478583356252983
RF,,,,,ScoreVector,auc_macro,0.65262513695747,0.013837826451160025
RF,,,,,ScoreVector,auc_micro,0.8198968698259189,0.006365995348804865
RF,,,,,ScoreVector,auprc_macro,0.45962766184495085,0.010149473031566747
RF,,,,,ScoreVector,auprc_micro,0.6849800279370466,0.010197317182018798
