Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.7006027973532208,0.013019537057725692
RF,,,,,BinaryVector,subset0_1,0.022838663312971616,0.00952989718817793
RF,,,,,BinaryVector,f1,0.5038396564071281,0.02226108437977631
RF,,,,,BinaryVector,jaccard,0.37456105202348977,0.021104507747917448
RF,,,,,BinaryVector,macro_f1,0.38671559835886077,0.01294511944259969
RF,,,,,BinaryVector,micro_f1,0.5252431053705806,0.020180832245224333
RF,,,,,BinaryVector,macro_precision,0.3860224856301829,0.013151377925673504
RF,,,,,BinaryVector,micro_precision,0.5057306402706443,0.02085310097017293
RF,,,,,BinaryVector,macro_recall,0.414979810762621,0.02843218782918919
RF,,,,,BinaryVector,micro_recall,0.5480987812899412,0.03620476420956705
RF,,,,,BinaryVector,example_precision,0.5163040285623571,0.02273090965459943
RF,,,,,BinaryVector,example_recall,0.551651122673542,0.03634421602780074
RF,,,,,BinaryVector,mfrd,0.8570766181958157,0.08670758430399092
RF,,,,,BinaryVector,afrd,0.43832972033177925,0.04830706808168775
RF,,,,,ScoreVector,ranking_loss,0.3771078199329663,0.00943537051937446
RF,,,,,ScoreVector,one_error,0.31940557466249164,0.021569751984505142
RF,,,,,ScoreVector,coverage,10.083619595161096,0.13204175663731518
RF,,,,,ScoreVector,lr_ap,0.5692259226695576,0.011889304885548917
RF,,,,,ScoreVector,auc_macro,0.5151688402065818,0.011748536913171698
RF,,,,,ScoreVector,auc_micro,0.6234819315738155,0.00987747284558136
RF,,,,,ScoreVector,auprc_macro,0.3124442512258042,0.005628861981011657
RF,,,,,ScoreVector,auprc_micro,0.47960961278167447,0.013782837729052427
