Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.7581450709484691,0.027707866979467657
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.5374719940253921,0.04286293243250417
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.6709173512571571,0.028882433528773947
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.6336834080159323,0.03310888903137979
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.5316481018258606,0.032068063647301574
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.613592408547342,0.03183565680756622
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.49890613808271594,0.038165293672011505
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.5155922557528982,0.03758259507145951
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.6496074914944405,0.05859065090175671
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.7591481788651601,0.021404139694215233
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.6351288274831964,0.033652805642505466
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.7601008215085885,0.020866102973203914
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.3919219368075098,0.11914951958942196
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.28539372839030014,0.0711901550298995
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8487924664224719,0.0157185886421244
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.7122673889319258,0.018878197957670654
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.7278902076386964,0.01929604786722918
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,jaccard_pa,0.7239845029620038,0.018805362625720683
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_precision_pa,0.726916161062137,0.017783761191652432
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_recall_pa,0.7327699588919486,0.02169649390942216
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_precision_pa,0.5566700925285892,0.021328085097202014
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_precision_pa,0.714896214896215,0.024409330686645286
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_recall_pa,0.5470981117720248,0.021531756601110917
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_recall_pa,0.7489790155486137,0.02320256258884364
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_f1_pa,0.5367876558108611,0.01941561349880584
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_f1_pa,0.731490881745701,0.023106399545175182
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,mfrd_pa,1.0,0.0
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,afrd_pa,0.4950921352219296,0.04494600258960113
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.8670323002240476,0.011549268385054346
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.11900205377147126,0.019654090469200074
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.7167289021657954,0.01836290436816893
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.3430545182972367,0.04484072074320454
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,ranking_loss,0.1436955439382624,0.011664871838212645
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,one_error,0.26971620612397307,0.02064119493680159
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,coverage,0.4373599701269604,0.03601596887298834
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,lr_ap,0.8408949464774709,0.01191066874069913
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_macro,0.842730409491059,0.03481213830522629
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_micro,0.8920561525725781,0.01323592460205227
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_macro,0.6291467420099549,0.04263825556974633
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_micro,0.7808666817406353,0.024618772011344634
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.7568521284540702,0.02286550066678651
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.5374719940253921,0.04286293243250417
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.7591112770724422,0.02650029162880348
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.5432412247946228,0.045340372614773104
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.6686582026387852,0.03362018356436606
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,jaccard,0.6336740726910631,0.036684792366371365
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_f1,0.5281667560278148,0.03420167875622116
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_f1,0.6119115288545122,0.03299122955167597
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_precision,0.49877966884054836,0.03671672550294585
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_precision,0.5166102424708957,0.035883197182572
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_recall,0.6424158094057333,0.059544090323042344
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_recall,0.7515650701499758,0.030372549459298737
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,example_precision,0.6351194921583272,0.03689165629679473
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,example_recall,0.7523711725168036,0.029735704667049258
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,mfrd,0.39920222597235605,0.11988724259498267
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,afrd,0.2972628657307373,0.06936671842901837
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8488789950911813,0.017348791935353044
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,subset0_1_pa,0.7161699208184668,0.023016249565416414
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,f1_pa,0.7213732966671881,0.022596717832361994
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,jaccard_pa,0.7200724527050079,0.022603594524191195
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,example_precision_pa,0.7230041108051409,0.020956667250944847
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,example_recall_pa,0.7210433264914157,0.024420677900076775
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,macro_precision_pa,0.5628316896832114,0.023621864538754388
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,micro_precision_pa,0.7171099063718376,0.02501838162052318
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,macro_recall_pa,0.5387725800769279,0.026395383910866713
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,micro_recall_pa,0.7402169628727578,0.03106887714471761
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,macro_f1_pa,0.5336934571394606,0.023136306004268085
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,micro_f1_pa,0.7284222953952181,0.027316097270381156
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,mfrd_pa,1.0,0.0
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,afrd_pa,0.5076867463842095,0.04593528402448116
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,arec,0.8670229648991785,0.014096892315193434
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,aabs,0.1189880507841673,0.017696638049698985
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,rec,0.7205750560119492,0.02245819187259711
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,abs,0.3391896938013443,0.044229173251543935
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,ranking_loss,0.1436955439382624,0.011664871838212645
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,one_error,0.26971620612397307,0.02064119493680159
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,coverage,0.4373599701269604,0.03601596887298834
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,lr_ap,0.8408949464774709,0.01191066874069913
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,auc_macro,0.842730409491059,0.03481213830522629
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,auc_micro,0.8920561525725781,0.01323592460205227
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,auprc_macro,0.6291467420099549,0.04263825556974633
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,auprc_micro,0.7808666817406353,0.024618772011344634
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.7555669653970624,0.023272740845310207
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.5432412247946228,0.045340372614773104
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,hamming_accuracy,0.7595920463032115,0.026786994505005723
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,subset0_1,0.5413368185212846,0.04030363235426753
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,f1,0.6731671645506597,0.027163871347763727
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,jaccard,0.6362568459049042,0.03137946599092489
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,macro_f1,0.5333371788846053,0.030091699465204017
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,micro_f1,0.6155865286038926,0.03007511084255668
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,macro_precision,0.5001758765986661,0.03692688371665825
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,micro_precision,0.5175348890665061,0.03633734486121004
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,macro_recall,0.6512203947202471,0.05549292973287714
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,micro_recall,0.7610712557882369,0.01907302532606731
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,example_precision,0.6377022653721682,0.031885518225589306
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,example_recall,0.7620238984316653,0.018367725557636178
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,mfrd,0.39068406460945043,0.12168814494452972
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,afrd,0.28347135711497884,0.06936933922626104
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8495262563428718,0.014943917689038641
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,subset0_1_pa,0.7122673889319258,0.018878197957670654
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,f1_pa,0.7292103396518977,0.017706307178557045
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,jaccard_pa,0.7249746019719048,0.017774998135235538
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,example_precision_pa,0.727906260072038,0.016515622718501332
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,example_recall_pa,0.7347501569117506,0.019193856359036577
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,macro_precision_pa,0.5571086890198174,0.02123211090049423
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,micro_precision_pa,0.7155006105006103,0.023629405427129206
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,macro_recall_pa,0.5488838260577391,0.019285735986252533
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,micro_recall_pa,0.7509992175688157,0.0206438716965246
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,macro_f1_pa,0.5382215133501765,0.01763237229098119
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,micro_f1_pa,0.7327658745014242,0.021420800250163678
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,mfrd_pa,1.0,0.0
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,afrd_pa,0.49303805935429446,0.04277703475902439
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,arec,0.867513069454817,0.011007674206420882
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,aabs,0.11803584764749812,0.019419992287877014
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,rec,0.7167289021657954,0.01836290436816893
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,abs,0.3391896938013443,0.044229173251543935
RF,PreOrder__Subset__None,Subset,,PreOrder,ScoreVector,ranking_loss,0.1436955439382624,0.011664871838212645
RF,PreOrder__Subset__None,Subset,,PreOrder,ScoreVector,one_error,0.26971620612397307,0.02064119493680159
RF,PreOrder__Subset__None,Subset,,PreOrder,ScoreVector,coverage,0.4373599701269604,0.03601596887298834
RF,PreOrder__Subset__None,Subset,,PreOrder,ScoreVector,lr_ap,0.8408949464774709,0.01191066874069913
RF,PreOrder__Subset__None,Subset,,PreOrder,ScoreVector,auc_macro,0.842730409491059,0.03481213830522629
RF,PreOrder__Subset__None,Subset,,PreOrder,ScoreVector,auc_micro,0.8920561525725781,0.01323592460205227
RF,PreOrder__Subset__None,Subset,,PreOrder,ScoreVector,auprc_macro,0.6291467420099549,0.04263825556974633
RF,PreOrder__Subset__None,Subset,,PreOrder,ScoreVector,auprc_micro,0.7808666817406353,0.024618772011344634
RF,PreOrder__Subset__None,Subset,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.757816778690565,0.022111576555587067
RF,PreOrder__Subset__None,Subset,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.5413368185212846,0.04030363235426753
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,hamming_accuracy,0.7591112770724422,0.02650029162880348
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,subset0_1,0.5432412247946228,0.045340372614773104
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,f1,0.669629076425193,0.032709233072843645
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,jaccard,0.6343213218820015,0.03599859699525012
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,macro_f1,0.52881172305142,0.03368192567465933
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,micro_f1,0.6125360951279334,0.03255527453964013
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,macro_precision,0.49867346168529314,0.03681903922735055
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,micro_precision,0.5166342780435432,0.0358656994779262
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,macro_recall,0.6437315988794176,0.05989509794650456
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,micro_recall,0.7534698320547377,0.02945420168364617
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,example_precision,0.6357667413492657,0.03621246834168906
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,example_recall,0.754312920089619,0.02870720320745809
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,mfrd,0.3959235374477659,0.12239677298951028
