Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8165403286034354,0.018311999795948525
RF,,,,,BinaryVector,subset0_1,0.44888349514563103,0.05755958786079942
RF,,,,,BinaryVector,f1,0.5001537216828478,0.052743708391304905
RF,,,,,BinaryVector,jaccard,0.48717513069454815,0.05309376789740447
RF,,,,,BinaryVector,macro_f1,0.43049382300701766,0.04968469556289599
RF,,,,,BinaryVector,micro_f1,0.5885146982920518,0.045212478543104395
RF,,,,,BinaryVector,macro_precision,0.530685095923041,0.057414955663140525
RF,,,,,BinaryVector,micro_precision,0.6795216034722975,0.051904242387926666
RF,,,,,BinaryVector,macro_recall,0.38833002505679426,0.052405569348242184
RF,,,,,BinaryVector,micro_recall,0.5229734605017624,0.0555721694924586
RF,,,,,BinaryVector,example_precision,0.48910380881254667,0.05231564138384359
RF,,,,,BinaryVector,example_recall,0.5248263629574309,0.05484644909428221
RF,,,,,BinaryVector,mfrd,0.9605787043530285,0.07377798226427684
RF,,,,,BinaryVector,afrd,0.5247447955516981,0.06451846314444017
RF,,,,,ScoreVector,ranking_loss,0.20040110779188453,0.02655457940662191
RF,,,,,ScoreVector,one_error,0.35107542942494396,0.0419795807966879
RF,,,,,ScoreVector,coverage,0.608924570575056,0.08339006127336976
RF,,,,,ScoreVector,lr_ap,0.7853793253671896,0.02542528090404136
RF,,,,,ScoreVector,auc_macro,0.7316459563008928,0.04690317060373953
RF,,,,,ScoreVector,auc_micro,0.8236585225272064,0.022486170035836694
RF,,,,,ScoreVector,auprc_macro,0.5178609223996155,0.03471604364115905
RF,,,,,ScoreVector,auprc_micro,0.6606237298677772,0.04438512499200927
