Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8144044062733383,0.01971174238748318
RF,,,,,BinaryVector,subset0_1,0.43454817027632564,0.061710546722275654
RF,,,,,BinaryVector,f1,0.47717961165048545,0.06297851742719322
RF,,,,,BinaryVector,jaccard,0.46632592730893707,0.061799406508024256
RF,,,,,BinaryVector,macro_f1,0.42430088059848925,0.05009278210051633
RF,,,,,BinaryVector,micro_f1,0.5720155596029187,0.05192260848811083
RF,,,,,BinaryVector,macro_precision,0.5255801134642666,0.05737140752908149
RF,,,,,BinaryVector,micro_precision,0.6857575246029275,0.056613714296907945
RF,,,,,BinaryVector,macro_recall,0.3743348387114521,0.056974848471480564
RF,,,,,BinaryVector,micro_recall,0.49593904208998546,0.06679376332804894
RF,,,,,BinaryVector,example_precision,0.4677386731391586,0.06283130977335583
RF,,,,,BinaryVector,example_recall,0.49816654219566836,0.06616530886170638
RF,,,,,BinaryVector,mfrd,0.954644570785697,0.08948306475990905
RF,,,,,BinaryVector,afrd,0.5417809711486531,0.07310276191954104
RF,,,,,ScoreVector,ranking_loss,0.20712129698780185,0.018851175962204838
RF,,,,,ScoreVector,one_error,0.3569006721433906,0.03501308214882551
RF,,,,,ScoreVector,coverage,0.6278304705003733,0.05662558884320031
RF,,,,,ScoreVector,lr_ap,0.779739855613642,0.019497771942706594
RF,,,,,ScoreVector,auc_macro,0.7273700932549068,0.0427732510393767
RF,,,,,ScoreVector,auc_micro,0.8205282166097874,0.019521730151894363
RF,,,,,ScoreVector,auprc_macro,0.5138361612208643,0.03340267405622153
RF,,,,,ScoreVector,auprc_micro,0.6559052300873381,0.04419989840808662
